timestamp;%idle;rxkB/s;txkB/s;kbmemfree;kbmemused
2017-12-21 17:22:56 UTC;92,23;1,77;3,50;4637260;3435884
2017-12-21 17:22:57 UTC;86,65;0,29;0,04;4661864;3411280
2017-12-21 17:22:58 UTC;83,84;3,25;6,48;4647892;3425252
2017-12-21 17:22:59 UTC;77,50;1,45;6,93;4657596;3415548
2017-12-21 17:23:00 UTC;89,22;0,91;0,18;4661012;3412132
2017-12-21 17:23:01 UTC;92,46;1,04;0,00;4665532;3407612
2017-12-21 17:23:02 UTC;91,98;6,63;2,13;4666868;3406276
2017-12-21 17:23:03 UTC;92,46;0,32;0,00;4666616;3406528
2017-12-21 17:23:04 UTC;94,75;0,30;0,04;4666740;3406404
2017-12-21 17:23:05 UTC;94,72;0,83;0,32;4668848;3404296
2017-12-21 17:23:06 UTC;92,96;0,29;0,09;4668944;3404200
2017-12-21 17:23:07 UTC;93,22;1,63;0,00;4668684;3404460
2017-12-21 17:23:08 UTC;93,70;0,26;0,09;4668940;3404204
2017-12-21 17:23:09 UTC;92,75;0,06;0,00;4668940;3404204
2017-12-21 17:23:10 UTC;86,93;21,20;74,22;4667824;3405320
2017-12-21 17:23:11 UTC;84,89;3,32;230,50;4667576;3405568
2017-12-21 17:23:12 UTC;84,08;3,61;270,08;4667452;3405692
2017-12-21 17:23:13 UTC;85,68;3,89;269,73;4667452;3405692
2017-12-21 17:23:14 UTC;85,68;3,38;273,41;4667328;3405816
2017-12-21 17:23:15 UTC;85,21;5,17;275,78;4667140;3406004
2017-12-21 17:23:16 UTC;85,75;3,04;264,34;4666892;3406252
2017-12-21 17:23:17 UTC;86,84;3,56;277,24;4666644;3406500
2017-12-21 17:23:18 UTC;86,43;4,66;276,94;4665900;3407244
2017-12-21 17:23:19 UTC;85,71;2,70;274,27;4665052;3408092
2017-12-21 17:23:20 UTC;86,22;3,85;283,56;4664784;3408360
2017-12-21 17:23:21 UTC;85,71;2,29;274,10;4664756;3408388
2017-12-21 17:23:22 UTC;85,75;2,83;265,94;4664412;3408732
2017-12-21 17:23:23 UTC;85,86;2,78;284,35;4663852;3409292
2017-12-21 17:23:24 UTC;85,68;3,33;262,34;4663852;3409292
2017-12-21 17:23:25 UTC;85,79;3,47;280,49;4663232;3409912
2017-12-21 17:23:26 UTC;86,22;3,24;273,38;4662736;3410408
2017-12-21 17:23:27 UTC;86,65;2,62;270,95;4662116;3411028
2017-12-21 17:23:28 UTC;86,25;3,10;264,05;4661868;3411276
2017-12-21 17:23:29 UTC;85,54;2,62;282,18;4661372;3411772
2017-12-21 17:23:30 UTC;86,25;2,63;270,47;4661000;3412144
2017-12-21 17:23:31 UTC;87,09;2,89;282,57;4660008;3413136
2017-12-21 17:23:32 UTC;86,00;8,62;270,03;4659760;3413384
2017-12-21 17:23:33 UTC;86,18;3,05;274,13;4659140;3414004
2017-12-21 17:23:34 UTC;85,79;3,15;275,79;4658892;3414252
2017-12-21 17:23:35 UTC;86,03;3,25;284,36;4658148;3414996
2017-12-21 17:23:36 UTC;86,22;2,80;272,25;4657652;3415492
2017-12-21 17:23:37 UTC;86,68;4,28;275,07;4657156;3415988
2017-12-21 17:23:38 UTC;86,43;2,52;273,22;4656536;3416608
2017-12-21 17:23:39 UTC;81,61;18,16;304,47;4633720;3439424
2017-12-21 17:23:40 UTC;78,30;4,10;313,80;4633320;3439824
2017-12-21 17:23:41 UTC;79,70;3,95;321,05;4632604;3440540
2017-12-21 17:23:42 UTC;79,45;4,20;341,47;4632604;3440540
2017-12-21 17:23:43 UTC;80,25;3,82;339,84;4632108;3441036
2017-12-21 17:23:44 UTC;79,40;5,06;341,08;4632108;3441036
2017-12-21 17:23:45 UTC;79,20;6,54;331,87;4631984;3441160
2017-12-21 17:23:46 UTC;79,05;5,45;355,18;4631860;3441284
2017-12-21 17:23:47 UTC;78,95;5,61;348,14;4631272;3441872
2017-12-21 17:23:48 UTC;79,55;5,18;345,90;4631024;3442120
2017-12-21 17:23:49 UTC;78,30;5,04;360,41;4630652;3442492
2017-12-21 17:23:50 UTC;76,57;4,54;374,05;4630404;3442740
2017-12-21 17:23:51 UTC;77,56;5,24;375,59;4629660;3443484
2017-12-21 17:23:52 UTC;79,04;4,41;373,76;4629288;3443856
2017-12-21 17:23:53 UTC;78,36;5,19;380,95;4629040;3444104
2017-12-21 17:23:54 UTC;77,89;4,59;400,77;4628792;3444352
2017-12-21 17:23:55 UTC;79,39;4,26;391,15;4628360;3444784
2017-12-21 17:23:56 UTC;78,64;5,42;407,44;4628360;3444784
2017-12-21 17:23:57 UTC;78,79;4,75;410,54;4627740;3445404
2017-12-21 17:23:58 UTC;78,20;4,80;436,70;4627740;3445404
2017-12-21 17:23:59 UTC;78,59;4,81;429,58;4626996;3446148
2017-12-21 17:24:00 UTC;78,34;4,93;456,01;4626748;3446396
2017-12-21 17:24:01 UTC;78,09;5,02;454,12;4626128;3447016
2017-12-21 17:24:02 UTC;77,58;14,82;495,02;4625880;3447264
2017-12-21 17:24:03 UTC;77,89;3,98;491,06;4625136;3448008
2017-12-21 17:24:04 UTC;77,83;4,56;514,90;4625012;3448132
2017-12-21 17:24:05 UTC;77,39;4,57;528,38;4625136;3448008
2017-12-21 17:24:06 UTC;77,44;4,50;540,75;4625136;3448008
2017-12-21 17:24:07 UTC;76,75;5,53;555,56;4624268;3448876
2017-12-21 17:24:08 UTC;77,19;4,05;558,13;4624020;3449124
2017-12-21 17:24:09 UTC;76,69;4,88;549,21;4623896;3449248
2017-12-21 17:24:10 UTC;77,14;4,68;551,21;4623400;3449744
2017-12-21 17:24:11 UTC;76,88;4,03;552,01;4622656;3450488
2017-12-21 17:24:12 UTC;76,81;5,15;550,74;4622656;3450488
2017-12-21 17:24:13 UTC;77,58;5,02;553,74;4621416;3451728
2017-12-21 17:24:14 UTC;77,06;4,88;555,93;4621168;3451976
2017-12-21 17:24:15 UTC;77,14;7,23;540,01;4620424;3452720
2017-12-21 17:24:16 UTC;78,09;4,56;557,12;4619928;3453216
2017-12-21 17:24:17 UTC;76,81;4,77;550,11;4619556;3453588
2017-12-21 17:24:18 UTC;77,44;6,61;554,13;4618936;3454208
2017-12-21 17:24:19 UTC;76,94;5,14;548,05;4618192;3454952
2017-12-21 17:24:20 UTC;77,06;5,82;545,90;4618192;3454952
2017-12-21 17:24:21 UTC;76,94;4,46;547,47;4617076;3456068
2017-12-21 17:24:22 UTC;76,56;5,03;565,34;4616456;3456688
2017-12-21 17:24:23 UTC;77,14;4,36;552,16;4616332;3456812
2017-12-21 17:24:24 UTC;77,00;4,47;548,71;4616208;3456936
2017-12-21 17:24:25 UTC;77,19;4,92;542,79;4616208;3456936
2017-12-21 17:24:26 UTC;77,19;4,29;554,62;4616208;3456936
2017-12-21 17:24:27 UTC;77,64;4,53;538,11;4615960;3457184
2017-12-21 17:24:28 UTC;76,67;4,04;535,81;4615960;3457184
2017-12-21 17:24:29 UTC;78,37;4,86;550,90;4615588;3457556
2017-12-21 17:24:30 UTC;76,30;5,35;547,67;4615588;3457556
2017-12-21 17:24:31 UTC;77,00;4,90;533,88;4615216;3457928
2017-12-21 17:24:32 UTC;76,56;9,62;560,50;4614844;3458300
2017-12-21 17:24:33 UTC;75,99;4,67;551,73;4614844;3458300
2017-12-21 17:24:34 UTC;76,62;4,50;548,73;4614844;3458300
2017-12-21 17:24:35 UTC;77,39;4,36;541,63;4614596;3458548
2017-12-21 17:24:36 UTC;77,53;4,16;556,59;4614596;3458548
2017-12-21 17:24:37 UTC;76,31;5,74;556,17;4614348;3458796
2017-12-21 17:24:38 UTC;77,25;3,96;540,21;4614960;3458184
2017-12-21 17:24:39 UTC;72,14;19,48;586,55;4591904;3481240
2017-12-21 17:24:40 UTC;68,17;6,04;629,00;4592276;3480868
2017-12-21 17:24:41 UTC;63,18;19,95;684,85;4568592;3504552
2017-12-21 17:24:42 UTC;60,10;6,97;760,03;4567668;3505476
2017-12-21 17:24:43 UTC;61,15;6,96;792,84;4567228;3505916
2017-12-21 17:24:44 UTC;60,60;7,66;803,98;4566484;3506660
2017-12-21 17:24:45 UTC;59,50;9,42;819,55;4565492;3507652
2017-12-21 17:24:46 UTC;58,96;7,27;843,74;4564500;3508644
2017-12-21 17:24:47 UTC;60,35;6,18;869,35;4563508;3509636
2017-12-21 17:24:48 UTC;60,20;6,79;888,96;4562516;3510628
2017-12-21 17:24:49 UTC;59,01;7,30;924,54;4561772;3511372
2017-12-21 17:24:50 UTC;59,85;7,82;963,04;4560904;3512240
2017-12-21 17:24:51 UTC;58,56;6,71;973,77;4560284;3512860
2017-12-21 17:24:52 UTC;58,10;6,40;987,22;4559540;3513604
2017-12-21 17:24:53 UTC;58,40;6,62;1029,20;4558796;3514348
2017-12-21 17:24:54 UTC;57,89;7,06;1047,19;4557680;3515464
2017-12-21 17:24:55 UTC;57,32;7,24;1054,80;4556936;3516208
2017-12-21 17:24:56 UTC;57,64;6,60;1097,43;4555696;3517448
2017-12-21 17:24:57 UTC;57,43;6,35;1092,11;4554952;3518192
2017-12-21 17:24:58 UTC;58,54;6,64;1089,76;4553836;3519308
2017-12-21 17:24:59 UTC;59,15;7,00;1108,34;4552720;3520424
2017-12-21 17:25:00 UTC;58,08;6,55;1096,93;4552100;3521044
2017-12-21 17:25:01 UTC;57,39;7,43;1098,68;4550612;3522532
2017-12-21 17:25:02 UTC;57,39;11,88;1105,30;4549868;3523276
2017-12-21 17:25:03 UTC;57,18;7,30;1094,55;4548380;3524764
2017-12-21 17:25:04 UTC;58,85;6,88;1103,74;4547512;3525632
2017-12-21 17:25:05 UTC;57,50;6,99;1101,83;4546644;3526500
2017-12-21 17:25:06 UTC;59,40;7,23;1106,97;4545528;3527616
2017-12-21 17:25:07 UTC;57,07;8,08;1096,79;4544536;3528608
2017-12-21 17:25:08 UTC;58,10;6,41;1092,85;4543544;3529600
2017-12-21 17:25:09 UTC;57,76;7,22;1098,90;4542428;3530716
2017-12-21 17:25:10 UTC;58,99;6,59;1095,86;4541560;3531584
2017-12-21 17:25:11 UTC;58,54;7,89;1093,74;4540196;3532948
2017-12-21 17:25:12 UTC;58,12;7,27;1105,76;4539204;3533940
2017-12-21 17:25:13 UTC;60,00;7,31;1091,58;4538212;3534932
2017-12-21 17:25:14 UTC;58,23;6,52;1100,44;4537096;3536048
2017-12-21 17:25:15 UTC;58,15;9,61;1100,69;4535980;3537164
2017-12-21 17:25:16 UTC;58,38;6,91;1089,27;4535236;3537908
2017-12-21 17:25:17 UTC;59,23;6,64;1093,22;4534492;3538652
2017-12-21 17:25:18 UTC;58,33;7,34;1096,56;4534120;3539024
2017-12-21 17:25:19 UTC;58,46;7,64;1115,06;4533500;3539644
2017-12-21 17:25:20 UTC;59,39;7,54;1099,32;4533128;3540016
2017-12-21 17:25:21 UTC;58,72;6,91;1095,28;4532756;3540388
2017-12-21 17:25:22 UTC;58,73;6,61;1084,92;4532756;3540388
2017-12-21 17:25:23 UTC;58,99;6,81;1099,76;4532508;3540636
2017-12-21 17:25:24 UTC;58,84;6,61;1092,39;4532384;3540760
2017-12-21 17:25:25 UTC;58,78;6,56;1098,23;4532136;3541008
2017-12-21 17:25:26 UTC;57,72;6,77;1091,53;4532136;3541008
2017-12-21 17:25:27 UTC;57,97;6,54;1101,46;4531796;3541348
2017-12-21 17:25:28 UTC;58,69;6,62;1095,06;4531548;3541596
2017-12-21 17:25:29 UTC;59,18;6,86;1100,13;4531548;3541596
2017-12-21 17:25:30 UTC;57,68;6,93;1097,22;4531424;3541720
2017-12-21 17:25:31 UTC;59,03;6,84;1094,37;4530928;3542216
2017-12-21 17:25:32 UTC;58,57;11,71;1099,21;4530928;3542216
2017-12-21 17:25:33 UTC;59,39;6,53;1096,00;4530680;3542464
2017-12-21 17:25:34 UTC;58,12;6,48;1098,41;4530184;3542960
2017-12-21 17:25:35 UTC;58,82;7,10;1096,16;4530184;3542960
2017-12-21 17:25:36 UTC;58,73;7,13;1095,59;4530060;3543084
2017-12-21 17:25:37 UTC;59,64;8,36;1099,36;4530060;3543084
2017-12-21 17:25:38 UTC;59,03;7,44;1092,19;4529936;3543208
2017-12-21 17:25:39 UTC;59,19;8,23;1092,03;4529812;3543332
2017-12-21 17:25:40 UTC;59,24;7,03;1099,50;4529812;3543332
2017-12-21 17:25:41 UTC;53,40;22,46;1126,81;4507492;3565652
2017-12-21 17:25:42 UTC;50,64;8,57;1196,09;4508084;3565060
2017-12-21 17:25:43 UTC;46,95;22,81;1235,11;4484568;3588576
2017-12-21 17:25:44 UTC;43,62;8,36;1262,52;4484320;3588824
2017-12-21 17:25:45 UTC;44,64;12,94;1291,89;4484312;3588832
2017-12-21 17:25:46 UTC;43,88;9,21;1295,45;4483792;3589352
2017-12-21 17:25:47 UTC;42,82;8,27;1309,58;4483048;3590096
2017-12-21 17:25:48 UTC;42,93;9,43;1331,23;4482800;3590344
2017-12-21 17:25:49 UTC;42,96;10,35;1379,45;4481932;3591212
2017-12-21 17:25:50 UTC;43,65;9,05;1321,20;4481436;3591708
2017-12-21 17:25:51 UTC;42,21;9,49;1369,35;4480320;3592824
2017-12-21 17:25:52 UTC;42,93;9,00;1387,32;4479700;3593444
2017-12-21 17:25:53 UTC;42,82;9,02;1398,99;4479328;3593816
2017-12-21 17:25:54 UTC;41,48;9,00;1432,28;4478460;3594684
2017-12-21 17:25:55 UTC;40,81;8,71;1446,41;4477716;3595428
2017-12-21 17:25:56 UTC;42,24;9,13;1466,50;4477344;3595800
2017-12-21 17:25:57 UTC;40,30;8,68;1469,88;4476444;3596700
2017-12-21 17:25:58 UTC;39,55;8,70;1473,15;4476072;3597072
2017-12-21 17:25:59 UTC;39,80;9,44;1486,54;4475576;3597568
2017-12-21 17:26:00 UTC;40,35;8,95;1500,84;4474832;3598312
2017-12-21 17:26:01 UTC;41,25;9,85;1511,52;4474212;3598932
2017-12-21 17:26:02 UTC;39,49;14,00;1530,84;4474212;3598932
2017-12-21 17:26:03 UTC;41,46;9,34;1511,19;4473716;3599428
2017-12-21 17:26:04 UTC;40,00;8,88;1541,55;4473468;3599676
2017-12-21 17:26:05 UTC;41,01;9,55;1545,19;4472724;3600420
2017-12-21 17:26:06 UTC;41,06;10,36;1563,37;4472476;3600668
2017-12-21 17:26:07 UTC;40,61;10,34;1578,99;4471732;3601412
2017-12-21 17:26:08 UTC;39,45;8,94;1598,90;4471360;3601784
2017-12-21 17:26:09 UTC;39,10;9,26;1607,09;4470864;3602280
2017-12-21 17:26:10 UTC;40,20;9,01;1637,67;4470244;3602900
2017-12-21 17:26:11 UTC;39,14;9,19;1651,81;4469624;3603520
2017-12-21 17:26:12 UTC;40,46;10,14;1635,63;4469128;3604016
2017-12-21 17:26:13 UTC;39,14;8,96;1643,85;4468384;3604760
2017-12-21 17:26:14 UTC;39,90;8,93;1646,97;4468136;3605008
2017-12-21 17:26:15 UTC;38,44;11,64;1650,08;4467392;3605752
2017-12-21 17:26:16 UTC;40,76;9,34;1642,12;4466648;3606496
2017-12-21 17:26:17 UTC;38,54;9,04;1663,05;4465904;3607240
2017-12-21 17:26:18 UTC;38,69;10,12;1629,77;4465532;3607612
2017-12-21 17:26:19 UTC;40,20;9,15;1642,38;4464912;3608232
2017-12-21 17:26:20 UTC;39,20;9,63;1646,93;4464912;3608232
2017-12-21 17:26:21 UTC;39,54;9,81;1650,58;4464292;3608852
2017-12-21 17:26:22 UTC;39,04;8,83;1636,76;4464292;3608852
2017-12-21 17:26:23 UTC;39,80;9,25;1642,60;4463920;3609224
2017-12-21 17:26:24 UTC;40,76;9,01;1633,28;4463796;3609348
2017-12-21 17:26:25 UTC;39,49;8,80;1637,14;4463796;3609348
2017-12-21 17:26:26 UTC;40,00;9,11;1641,42;4463672;3609472
2017-12-21 17:26:27 UTC;38,54;8,71;1637,69;4463300;3609844
2017-12-21 17:26:28 UTC;40,05;8,98;1645,61;4463300;3609844
2017-12-21 17:26:29 UTC;39,45;9,55;1639,88;4463240;3609904
2017-12-21 17:26:30 UTC;38,31;10,00;1652,52;4463240;3609904
2017-12-21 17:26:31 UTC;40,10;10,73;1626,73;4463488;3609656
2017-12-21 17:26:32 UTC;39,15;15,44;1616,88;4463364;3609780
2017-12-21 17:26:33 UTC;39,60;10,32;1610,92;4463364;3609780
2017-12-21 17:26:34 UTC;40,45;9,51;1648,54;4463240;3609904
2017-12-21 17:26:35 UTC;40,55;10,39;1637,12;4463116;3610028
2017-12-21 17:26:36 UTC;41,01;9,42;1607,86;4461668;3611476
2017-12-21 17:26:37 UTC;40,74;12,24;1613,74;4461720;3611424
2017-12-21 17:26:38 UTC;40,40;9,01;1618,62;4462464;3610680
2017-12-21 17:26:39 UTC;42,39;9,72;1622,80;4462340;3610804
2017-12-21 17:26:40 UTC;39,10;9,33;1626,53;4462340;3610804
2017-12-21 17:26:41 UTC;39,75;9,68;1628,44;4462340;3610804
2017-12-21 17:26:42 UTC;41,25;8,93;1628,42;4462340;3610804
2017-12-21 17:26:43 UTC;37,03;24,35;1640,10;4438840;3634304
2017-12-21 17:26:44 UTC;30,58;9,37;1666,87;4439528;3633616
2017-12-21 17:26:45 UTC;32,41;12,35;1666,12;4439304;3633840
2017-12-21 17:26:46 UTC;24,81;26,25;1686,93;4415524;3657620
2017-12-21 17:26:47 UTC;22,17;11,78;1720,48;4414904;3658240
2017-12-21 17:26:48 UTC;23,56;11,89;1673,49;4415152;3657992
2017-12-21 17:26:49 UTC;25,19;11,07;1666,49;4415028;3658116
2017-12-21 17:26:50 UTC;25,63;11,04;1699,32;4414904;3658240
2017-12-21 17:26:51 UTC;22,81;11,15;1706,35;4414532;3658612
2017-12-21 17:26:52 UTC;24,87;10,79;1731,77;4413912;3659232
2017-12-21 17:26:53 UTC;22,61;12,32;1743,03;4413292;3659852
2017-12-21 17:26:54 UTC;24,69;10,51;1742,63;4413044;3660100
2017-12-21 17:26:55 UTC;25,81;11,33;1750,44;4412672;3660472
2017-12-21 17:26:56 UTC;24,06;11,32;1768,10;4412424;3660720
2017-12-21 17:26:57 UTC;24,62;11,27;1780,36;4412424;3660720
2017-12-21 17:26:58 UTC;23,29;12,33;1763,15;4412208;3660936
2017-12-21 17:26:59 UTC;25,81;12,09;1778,95;4411896;3661248
2017-12-21 17:27:00 UTC;22,25;11,32;1773,35;4411896;3661248
2017-12-21 17:27:01 UTC;21,95;13,90;1884,96;4411648;3661496
2017-12-21 17:27:02 UTC;24,06;16,16;1675,26;4411276;3661868
2017-12-21 17:27:03 UTC;22,53;12,37;1799,84;4411152;3661992
2017-12-21 17:27:04 UTC;25,25;13,76;1583,70;4411028;3662116
2017-12-21 17:27:05 UTC;27,57;11,33;1576,21;4410904;3662240
2017-12-21 17:27:06 UTC;25,00;11,56;1620,61;4410872;3662272
2017-12-21 17:27:07 UTC;25,94;11,61;1675,21;4410656;3662488
2017-12-21 17:27:08 UTC;26,13;12,90;1734,03;4410656;3662488
2017-12-21 17:27:09 UTC;23,23;12,40;1846,66;4410532;3662612
2017-12-21 17:27:10 UTC;25,44;11,08;1684,36;4410532;3662612
2017-12-21 17:27:11 UTC;21,16;11,32;1729,96;4410160;3662984
2017-12-21 17:27:12 UTC;22,86;12,98;1805,10;4410160;3662984
2017-12-21 17:27:13 UTC;22,11;11,89;1807,41;4409912;3663232
2017-12-21 17:27:14 UTC;19,85;10,98;1860,95;4409540;3663604
2017-12-21 17:27:15 UTC;21,86;13,73;1879,63;4409540;3663604
2017-12-21 17:27:16 UTC;22,44;11,18;1890,33;4409540;3663604
2017-12-21 17:27:17 UTC;20,65;12,92;1905,19;4409416;3663728
2017-12-21 17:27:18 UTC;18,05;12,65;2019,96;4409416;3663728
2017-12-21 17:27:19 UTC;30,40;27,38;2266,17;4409044;3664100
2017-12-21 17:27:20 UTC;58,65;15,57;917,30;4408920;3664224
2017-12-21 17:27:21 UTC;50,63;12,13;660,60;4426032;3647112
2017-12-21 17:27:22 UTC;42,36;10,49;840,79;4425660;3647484
2017-12-21 17:27:23 UTC;42,61;12,24;838,99;4425632;3647512
2017-12-21 17:27:24 UTC;42,86;11,66;881,54;4425004;3648140
2017-12-21 17:27:25 UTC;41,60;11,39;917,42;4425288;3647856
2017-12-21 17:27:26 UTC;40,35;12,50;961,36;4425288;3647856
2017-12-21 17:27:27 UTC;40,05;11,14;998,45;4425288;3647856
2017-12-21 17:27:28 UTC;41,46;10,94;1053,52;4425164;3647980
2017-12-21 17:27:29 UTC;41,41;11,18;1112,85;4425100;3648044
2017-12-21 17:27:30 UTC;39,45;11,56;1165,77;4425100;3648044
2017-12-21 17:27:31 UTC;38,17;11,88;1220,22;4417692;3655452
