# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
zenbook;1;2017-12-21 17:22:56 UTC;-1;4,76;0,00;3,01;0,00;0,00;92,23
zenbook;1;2017-12-21 17:22:57 UTC;-1;9,57;0,00;3,78;0,00;0,00;86,65
zenbook;1;2017-12-21 17:22:58 UTC;-1;11,36;0,00;4,80;0,00;0,00;83,84
zenbook;1;2017-12-21 17:22:59 UTC;-1;15,75;0,00;6,50;0,25;0,00;77,50
zenbook;1;2017-12-21 17:23:00 UTC;-1;6,77;0,00;4,01;0,00;0,00;89,22
zenbook;1;2017-12-21 17:23:01 UTC;-1;4,77;0,00;2,76;0,00;0,00;92,46
zenbook;1;2017-12-21 17:23:02 UTC;-1;4,76;0,00;3,26;0,00;0,00;91,98
zenbook;1;2017-12-21 17:23:03 UTC;-1;4,77;0,00;2,76;0,00;0,00;92,46
zenbook;1;2017-12-21 17:23:04 UTC;-1;2,75;0,00;2,50;0,00;0,00;94,75
zenbook;1;2017-12-21 17:23:05 UTC;-1;2,76;0,00;2,51;0,00;0,00;94,72
zenbook;1;2017-12-21 17:23:06 UTC;-1;4,27;0,00;2,51;0,25;0,00;92,96
zenbook;1;2017-12-21 17:23:07 UTC;-1;4,02;0,00;2,76;0,00;0,00;93,22
zenbook;1;2017-12-21 17:23:08 UTC;-1;4,03;0,00;2,27;0,00;0,00;93,70
zenbook;1;2017-12-21 17:23:09 UTC;-1;4,00;0,00;3,25;0,00;0,00;92,75
zenbook;1;2017-12-21 17:23:10 UTC;-1;8,79;0,00;4,27;0,00;0,00;86,93
zenbook;1;2017-12-21 17:23:11 UTC;-1;11,08;0,00;4,03;0,00;0,00;84,89
zenbook;1;2017-12-21 17:23:12 UTC;-1;11,69;0,00;4,23;0,00;0,00;84,08
zenbook;1;2017-12-21 17:23:13 UTC;-1;10,30;0,00;4,02;0,00;0,00;85,68
zenbook;1;2017-12-21 17:23:14 UTC;-1;10,55;0,00;3,77;0,00;0,00;85,68
zenbook;1;2017-12-21 17:23:15 UTC;-1;10,53;0,00;4,01;0,25;0,00;85,21
zenbook;1;2017-12-21 17:23:16 UTC;-1;10,00;0,00;4,25;0,00;0,00;85,75
zenbook;1;2017-12-21 17:23:17 UTC;-1;9,62;0,00;3,54;0,00;0,00;86,84
zenbook;1;2017-12-21 17:23:18 UTC;-1;10,30;0,00;3,27;0,00;0,00;86,43
zenbook;1;2017-12-21 17:23:19 UTC;-1;10,28;0,00;4,01;0,00;0,00;85,71
zenbook;1;2017-12-21 17:23:20 UTC;-1;10,28;0,00;3,51;0,00;0,00;86,22
zenbook;1;2017-12-21 17:23:21 UTC;-1;10,03;0,00;4,01;0,25;0,00;85,71
zenbook;1;2017-12-21 17:23:22 UTC;-1;10,25;0,00;4,00;0,00;0,00;85,75
zenbook;1;2017-12-21 17:23:23 UTC;-1;10,35;0,00;3,79;0,00;0,00;85,86
zenbook;1;2017-12-21 17:23:24 UTC;-1;10,55;0,00;3,77;0,00;0,00;85,68
zenbook;1;2017-12-21 17:23:25 UTC;-1;10,22;0,00;3,99;0,00;0,00;85,79
zenbook;1;2017-12-21 17:23:26 UTC;-1;9,77;0,00;4,01;0,00;0,00;86,22
zenbook;1;2017-12-21 17:23:27 UTC;-1;9,82;0,00;3,53;0,00;0,00;86,65
zenbook;1;2017-12-21 17:23:28 UTC;-1;9,75;0,00;4,00;0,00;0,00;86,25
zenbook;1;2017-12-21 17:23:29 UTC;-1;9,98;0,00;4,49;0,00;0,00;85,54
zenbook;1;2017-12-21 17:23:30 UTC;-1;10,25;0,00;3,50;0,00;0,00;86,25
zenbook;1;2017-12-21 17:23:31 UTC;-1;9,37;0,00;3,54;0,00;0,00;87,09
zenbook;1;2017-12-21 17:23:32 UTC;-1;10,25;0,00;3,75;0,00;0,00;86,00
zenbook;1;2017-12-21 17:23:33 UTC;-1;10,05;0,00;3,77;0,00;0,00;86,18
zenbook;1;2017-12-21 17:23:34 UTC;-1;9,98;0,00;4,24;0,00;0,00;85,79
zenbook;1;2017-12-21 17:23:35 UTC;-1;9,73;0,00;4,24;0,00;0,00;86,03
zenbook;1;2017-12-21 17:23:36 UTC;-1;9,52;0,00;4,26;0,00;0,00;86,22
zenbook;1;2017-12-21 17:23:37 UTC;-1;9,30;0,00;3,77;0,25;0,00;86,68
zenbook;1;2017-12-21 17:23:38 UTC;-1;9,80;0,00;3,77;0,00;0,00;86,43
zenbook;1;2017-12-21 17:23:39 UTC;-1;13,85;0,00;4,53;0,00;0,00;81,61
zenbook;1;2017-12-21 17:23:40 UTC;-1;16,96;0,00;4,74;0,00;0,00;78,30
zenbook;1;2017-12-21 17:23:41 UTC;-1;15,99;0,00;4,31;0,00;0,00;79,70
zenbook;1;2017-12-21 17:23:42 UTC;-1;16,29;0,00;4,01;0,25;0,00;79,45
zenbook;1;2017-12-21 17:23:43 UTC;-1;15,19;0,00;4,56;0,00;0,00;80,25
zenbook;1;2017-12-21 17:23:44 UTC;-1;16,08;0,00;4,52;0,00;0,00;79,40
zenbook;1;2017-12-21 17:23:45 UTC;-1;16,29;0,00;4,51;0,00;0,00;79,20
zenbook;1;2017-12-21 17:23:46 UTC;-1;16,46;0,00;4,49;0,00;0,00;79,05
zenbook;1;2017-12-21 17:23:47 UTC;-1;16,29;0,00;4,76;0,00;0,00;78,95
zenbook;1;2017-12-21 17:23:48 UTC;-1;16,16;0,00;4,29;0,00;0,00;79,55
zenbook;1;2017-12-21 17:23:49 UTC;-1;16,46;0,00;5,24;0,00;0,00;78,30
zenbook;1;2017-12-21 17:23:50 UTC;-1;18,14;0,00;5,29;0,00;0,00;76,57
zenbook;1;2017-12-21 17:23:51 UTC;-1;17,46;0,00;4,99;0,00;0,00;77,56
zenbook;1;2017-12-21 17:23:52 UTC;-1;16,41;0,00;4,55;0,00;0,00;79,04
zenbook;1;2017-12-21 17:23:53 UTC;-1;16,42;0,00;4,98;0,25;0,00;78,36
zenbook;1;2017-12-21 17:23:54 UTC;-1;17,09;0,00;5,03;0,00;0,00;77,89
zenbook;1;2017-12-21 17:23:55 UTC;-1;16,28;0,00;4,33;0,00;0,00;79,39
