# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
zenbook;1;2017-12-21 17:22:56 UTC;4637260;5685136;3435884;42,56;116868;1589768;11317976;65,46;1472708;1569900;1436
zenbook;1;2017-12-21 17:22:57 UTC;4661864;5709796;3411280;42,25;116868;1564416;11288036;65,29;1472812;1544544;1472
zenbook;1;2017-12-21 17:22:58 UTC;4647892;5695892;3425252;42,43;116872;1578644;11295916;65,34;1473124;1558788;1612
zenbook;1;2017-12-21 17:22:59 UTC;4657596;5705668;3415548;42,31;116892;1568972;11286816;65,28;1473380;1549104;1872
zenbook;1;2017-12-21 17:23:00 UTC;4661012;5709144;3412132;42,27;116892;1564588;11286816;65,28;1473780;1544708;1740
zenbook;1;2017-12-21 17:23:01 UTC;4665532;5713712;3407612;42,21;116892;1559736;11286816;65,28;1473612;1539856;1788
zenbook;1;2017-12-21 17:23:02 UTC;4666868;5715048;3406276;42,19;116892;1558452;11286816;65,28;1473792;1538572;1788
zenbook;1;2017-12-21 17:23:03 UTC;4666616;5714868;3406528;42,20;116892;1558544;11286816;65,28;1473676;1538632;1840
zenbook;1;2017-12-21 17:23:04 UTC;4666740;5715048;3406404;42,19;116900;1558560;11286816;65,28;1473676;1538656;1868
zenbook;1;2017-12-21 17:23:05 UTC;4668848;5717204;3404296;42,17;116900;1556472;11286816;65,28;1473676;1536560;1892
zenbook;1;2017-12-21 17:23:06 UTC;4668944;5717528;3404200;42,17;116916;1556644;11286816;65,28;1473848;1536772;1928
zenbook;1;2017-12-21 17:23:07 UTC;4668684;5717144;3404460;42,17;116916;1556600;11286816;65,28;1473704;1536648;792
zenbook;1;2017-12-21 17:23:08 UTC;4668940;5717456;3404204;42,17;116916;1556656;11286816;65,28;1473704;1536704;820
zenbook;1;2017-12-21 17:23:09 UTC;4668940;5717456;3404204;42,17;116916;1556704;11286816;65,28;1473704;1536704;844
zenbook;1;2017-12-21 17:23:10 UTC;4667824;5716460;3405320;42,18;116916;1538148;11309756;65,42;1493800;1518216;936
zenbook;1;2017-12-21 17:23:11 UTC;4667576;5716328;3405568;42,18;116924;1536744;11309756;65,42;1495120;1516864;1096
zenbook;1;2017-12-21 17:23:12 UTC;4667452;5716252;3405692;42,19;116924;1536628;11309756;65,42;1495088;1516744;1164
zenbook;1;2017-12-21 17:23:13 UTC;4667452;5716252;3405692;42,19;116924;1536364;11309756;65,42;1495116;1516480;1164
zenbook;1;2017-12-21 17:23:14 UTC;4667328;5716200;3405816;42,19;116924;1536468;11309756;65,42;1495212;1516548;1224
zenbook;1;2017-12-21 17:23:15 UTC;4667140;5716120;3406004;42,19;116940;1536428;11309756;65,42;1495592;1516544;1260
zenbook;1;2017-12-21 17:23:16 UTC;4666892;5715872;3406252;42,19;116940;1536428;11309756;65,42;1495876;1516544;1260
zenbook;1;2017-12-21 17:23:17 UTC;4666644;5715728;3406500;42,20;116940;1536532;11309756;65,42;1496668;1516648;1316
zenbook;1;2017-12-21 17:23:18 UTC;4665900;5714984;3407244;42,20;116940;1536532;11309756;65,42;1496836;1516648;1316
zenbook;1;2017-12-21 17:23:19 UTC;4665052;5714232;3408092;42,22;116940;1536796;11309756;65,42;1497604;1516740;1168
zenbook;1;2017-12-21 17:23:20 UTC;4664784;5714020;3408360;42,22;116940;1536684;11309756;65,42;1498304;1516796;1212
zenbook;1;2017-12-21 17:23:21 UTC;4664756;5713992;3408388;42,22;116948;1536676;11309756;65,42;1497784;1516796;1212
zenbook;1;2017-12-21 17:23:22 UTC;4664412;5713760;3408732;42,22;116948;1536788;11309756;65,42;1498308;1516900;1288
zenbook;1;2017-12-21 17:23:23 UTC;4663852;5713248;3409292;42,23;116948;1536836;11309756;65,42;1498836;1516948;152
zenbook;1;2017-12-21 17:23:24 UTC;4663852;5713248;3409292;42,23;116956;1536828;11309756;65,42;1498948;1516948;152
zenbook;1;2017-12-21 17:23:25 UTC;4663232;5712740;3409912;42,24;116956;1536940;11309756;65,42;1499656;1517052;244
zenbook;1;2017-12-21 17:23:26 UTC;4662736;5712244;3410408;42,24;116956;1536940;11309756;65,42;1499840;1517052;244
zenbook;1;2017-12-21 17:23:27 UTC;4662116;5711736;3411028;42,25;116964;1537044;11309756;65,42;1500516;1517156;300
zenbook;1;2017-12-21 17:23:28 UTC;4661868;5711536;3411276;42,25;116964;1537092;11309756;65,42;1500920;1517204;340
zenbook;1;2017-12-21 17:23:29 UTC;4661372;5711040;3411772;42,26;116964;1537092;11309756;65,42;1501088;1517204;340
zenbook;1;2017-12-21 17:23:30 UTC;4661000;5710772;3412144;42,27;116964;1537196;11309756;65,42;1501656;1517308;392
zenbook;1;2017-12-21 17:23:31 UTC;4660008;5709836;3413136;42,28;116964;1537252;11309756;65,42;1502460;1517364;420
zenbook;1;2017-12-21 17:23:32 UTC;4659760;5709636;3413384;42,28;116972;1537292;11309756;65,42;1502580;1517412;448
zenbook;1;2017-12-21 17:23:33 UTC;4659140;5709080;3414004;42,29;116972;1537356;11309756;65,42;1503364;1517468;480
zenbook;1;2017-12-21 17:23:34 UTC;4658892;5708832;3414252;42,29;116972;1537356;11309756;65,42;1503592;1517468;480
zenbook;1;2017-12-21 17:23:35 UTC;4658148;5708184;3414996;42,30;116972;1537452;11309756;65,42;1504228;1517564;540
zenbook;1;2017-12-21 17:23:36 UTC;4657652;5707744;3415492;42,31;116972;1537508;11309756;65,42;1504668;1517620;584
zenbook;1;2017-12-21 17:23:37 UTC;4657156;5707288;3415988;42,31;116980;1537556;11309756;65,42;1504976;1517652;612
zenbook;1;2017-12-21 17:23:38 UTC;4656536;5706676;3416608;42,32;116980;1537612;11309756;65,42;1505392;1517660;508
zenbook;1;2017-12-21 17:23:39 UTC;4633720;5683972;3439424;42,60;116980;1539300;11337772;65,58;1526588;1519412;572
zenbook;1;2017-12-21 17:23:40 UTC;4633320;5683572;3439824;42,61;116980;1538268;11337772;65,58;1527792;1518380;572
zenbook;1;2017-12-21 17:23:41 UTC;4632604;5682960;3440540;42,62;116980;1538124;11337772;65,58;1528716;1518236;640
zenbook;1;2017-12-21 17:23:42 UTC;4632604;5682968;3440540;42,62;116996;1537952;11337772;65,58;1528972;1518064;676
zenbook;1;2017-12-21 17:23:43 UTC;4632108;5682576;3441036;42,62;116996;1537964;11337772;65,58;1529304;1518080;728
zenbook;1;2017-12-21 17:23:44 UTC;4632108;5682632;3441036;42,62;116996;1537916;11337772;65,58;1529628;1518032;752
zenbook;1;2017-12-21 17:23:45 UTC;4631984;5682564;3441160;42,62;116996;1537972;11329188;65,53;1529876;1518088;780
zenbook;1;2017-12-21 17:23:46 UTC;4631860;5682488;3441284;42,63;116996;1538020;11329188;65,53;1530028;1518120;804
zenbook;1;2017-12-21 17:23:47 UTC;4631272;5681964;3441872;42,63;117012;1538076;11329188;65,53;1530544;1518176;864
zenbook;1;2017-12-21 17:23:48 UTC;4631024;5681772;3442120;42,64;117012;1538124;11329188;65,53;1530776;1518224;888
zenbook;1;2017-12-21 17:23:49 UTC;4630652;5681456;3442492;42,64;117012;1538180;11329188;65,53;1531256;1518280;920
zenbook;1;2017-12-21 17:23:50 UTC;4630404;5681256;3442740;42,64;117012;1538228;11329188;65,53;1531376;1518328;948
zenbook;1;2017-12-21 17:23:51 UTC;4629660;5680568;3443484;42,65;117012;1538284;11329188;65,53;1531728;1518384;932
zenbook;1;2017-12-21 17:23:52 UTC;4629288;5680244;3443856;42,66;117012;1538332;11329188;65,53;1532160;1518432;956
zenbook;1;2017-12-21 17:23:53 UTC;4629040;5680036;3444104;42,66;117020;1538380;11329188;65,53;1532240;1518464;984
zenbook;1;2017-12-21 17:23:54 UTC;4628792;5679816;3444352;42,66;117020;1538436;11329188;65,53;1532644;1518492;56
zenbook;1;2017-12-21 17:23:55 UTC;4628360;5679476;3444784;42,67;117020;1538484;11320996;65,48;1532900;1518584;88
zenbook;1;2017-12-21 17:23:56 UTC;4628360;5679476;3444784;42,67;117020;1538484;11320996;65,48;1532900;1518584;88
zenbook;1;2017-12-21 17:23:57 UTC;4627740;5678960;3445404;42,68;117020;1538588;11320996;65,48;1533468;1518688;144
zenbook;1;2017-12-21 17:23:58 UTC;4627740;5678960;3445404;42,68;117020;1538588;11320996;65,48;1533524;1518688;144
zenbook;1;2017-12-21 17:23:59 UTC;4626996;5678324;3446148;42,69;117028;1538692;11320996;65,48;1534096;1518788;200
zenbook;1;2017-12-21 17:24:00 UTC;4626748;5678136;3446396;42,69;117028;1538748;11320996;65,48;1534484;1518848;240
zenbook;1;2017-12-21 17:24:01 UTC;4626128;5677564;3447016;42,70;117028;1538796;11320996;65,48;1534892;1518896;264
zenbook;1;2017-12-21 17:24:02 UTC;4625880;5677364;3447264;42,70;117028;1538844;11320996;65,48;1535012;1518944;288
zenbook;1;2017-12-21 17:24:03 UTC;4625136;5676676;3448008;42,71;117028;1538900;11320996;65,48;1535752;1519000;316
zenbook;1;2017-12-21 17:24:04 UTC;4625012;5676560;3448132;42,71;117036;1538900;11320996;65,48;1535864;1519000;316
zenbook;1;2017-12-21 17:24:05 UTC;4625136;5676788;3448008;42,71;117036;1539004;11320996;65,48;1535504;1519104;376
zenbook;1;2017-12-21 17:24:06 UTC;4625136;5676788;3448008;42,71;117036;1539004;11320996;65,48;1535672;1519104;376
zenbook;1;2017-12-21 17:24:07 UTC;4624268;5676024;3448876;42,72;117036;1539108;11320996;65,48;1536240;1519208;432
zenbook;1;2017-12-21 17:24:08 UTC;4624020;5675824;3449124;42,72;117036;1539156;11320996;65,48;1536904;1519256;456
zenbook;1;2017-12-21 17:24:09 UTC;4623896;5675700;3449248;42,72;117044;1539148;11320996;65,48;1537016;1519256;456
zenbook;1;2017-12-21 17:24:10 UTC;4623400;5675316;3449744;42,73;117044;1539260;11305540;65,39;1537376;1519332;452
zenbook;1;2017-12-21 17:24:11 UTC;4622656;5674620;3450488;42,74;117044;1539308;11305540;65,39;1538168;1519380;480
zenbook;1;2017-12-21 17:24:12 UTC;4622656;5674620;3450488;42,74;117044;1539308;11305540;65,39;1538168;1519380;480
zenbook;1;2017-12-21 17:24:13 UTC;4621416;5673484;3451728;42,76;117044;1539412;11305540;65,39;1539016;1519484;532
zenbook;1;2017-12-21 17:24:14 UTC;4621168;5673236;3451976;42,76;117052;1539404;11305540;65,39;1539016;1519484;532
zenbook;1;2017-12-21 17:24:15 UTC;4620424;5672604;3452720;42,77;117052;1539516;11305540;65,39;1539972;1519592;584
zenbook;1;2017-12-21 17:24:16 UTC;4619928;5672164;3453216;42,77;117052;1539572;11305540;65,39;1540476;1519648;612
zenbook;1;2017-12-21 17:24:17 UTC;4619556;5671792;3453588;42,78;117052;1539572;11305540;65,39;1540868;1519648;612
zenbook;1;2017-12-21 17:24:18 UTC;4618936;5671232;3454208;42,79;117052;1539676;11305540;65,39;1541368;1519708;664
zenbook;1;2017-12-21 17:24:19 UTC;4618192;5670588;3454952;42,80;117060;1539724;11305540;65,39;1541936;1519800;688
zenbook;1;2017-12-21 17:24:20 UTC;4618192;5670588;3454952;42,80;117060;1539724;11305540;65,39;1541936;1519800;688
zenbook;1;2017-12-21 17:24:21 UTC;4617076;5669576;3456068;42,81;117060;1539828;11305540;65,39;1543144;1519900;740
zenbook;1;2017-12-21 17:24:22 UTC;4616456;5668956;3456688;42,82;117060;1539828;11305540;65,39;1543384;1519900;740
zenbook;1;2017-12-21 17:24:23 UTC;4616332;5668936;3456812;42,82;117060;1539932;11305540;65,39;1543660;1520004;792
zenbook;1;2017-12-21 17:24:24 UTC;4616208;5668868;3456936;42,82;117068;1539980;11305540;65,39;1543728;1520052;12
zenbook;1;2017-12-21 17:24:25 UTC;4616208;5668912;3456936;42,82;117068;1540036;11305540;65,39;1543772;1520096;60
zenbook;1;2017-12-21 17:24:26 UTC;4616208;5668912;3456936;42,82;117084;1540020;11305540;65,39;1543812;1520096;84
zenbook;1;2017-12-21 17:24:27 UTC;4615960;5668792;3457184;42,82;117084;1540140;11305540;65,39;1543936;1520208;164
zenbook;1;2017-12-21 17:24:28 UTC;4615960;5668792;3457184;42,82;117084;1540140;11305540;65,39;1543936;1520208;164
zenbook;1;2017-12-21 17:24:29 UTC;4615588;5668496;3457556;42,83;117084;1540236;11305540;65,39;1544140;1520284;212
zenbook;1;2017-12-21 17:24:30 UTC;4615588;5668496;3457556;42,83;117084;1540236;11305540;65,39;1544140;1520284;212
zenbook;1;2017-12-21 17:24:31 UTC;4615216;5668208;3457928;42,83;117084;1540340;11305540;65,39;1544504;1520368;264
zenbook;1;2017-12-21 17:24:32 UTC;4614844;5667908;3458300;42,84;117092;1540332;11305540;65,39;1544624;1520372;292
zenbook;1;2017-12-21 17:24:33 UTC;4614844;5667960;3458300;42,84;117092;1540380;11305540;65,39;1544632;1520420;316
zenbook;1;2017-12-21 17:24:34 UTC;4614844;5668048;3458300;42,84;117092;1540436;11305540;65,39;1544692;1520508;344
zenbook;1;2017-12-21 17:24:35 UTC;4614596;5667844;3458548;42,84;117092;1540484;11305540;65,39;1544852;1520552;368
zenbook;1;2017-12-21 17:24:36 UTC;4614596;5667844;3458548;42,84;117092;1540484;11305540;65,39;1544852;1520552;368
zenbook;1;2017-12-21 17:24:37 UTC;4614348;5667696;3458796;42,84;117100;1540588;11305540;65,39;1544908;1520652;464
zenbook;1;2017-12-21 17:24:38 UTC;4614960;5668308;3458184;42,84;117100;1540588;11305540;65,39;1544220;1520652;464
zenbook;1;2017-12-21 17:24:39 UTC;4591904;5645372;3481240;43,12;117100;1542396;11347288;65,63;1565608;1522468;608
zenbook;1;2017-12-21 17:24:40 UTC;4592276;5645792;3480868;43,12;117100;1541164;11347288;65,63;1566076;1521236;180
zenbook;1;2017-12-21 17:24:41 UTC;4568592;5622164;3504552;43,41;117100;1542312;11392944;65,90;1589024;1522384;220
zenbook;1;2017-12-21 17:24:42 UTC;4567668;5621248;3505476;43,42;117108;1541500;11392944;65,90;1589916;1521528;252
zenbook;1;2017-12-21 17:24:43 UTC;4567228;5620912;3505916;43,43;117108;1541124;11392944;65,90;1591004;1521196;280
zenbook;1;2017-12-21 17:24:44 UTC;4566484;5620168;3506660;43,44;117108;1541124;11392944;65,90;1591692;1521196;280
zenbook;1;2017-12-21 17:24:45 UTC;4565492;5619280;3507652;43,45;117108;1541228;11392944;65,90;1593120;1521300;332
zenbook;1;2017-12-21 17:24:46 UTC;4564500;5618288;3508644;43,46;117108;1541232;11392944;65,90;1593636;1521300;332
zenbook;1;2017-12-21 17:24:47 UTC;4563508;5617400;3509636;43,47;117116;1541164;11392944;65,90;1594968;1521240;380
zenbook;1;2017-12-21 17:24:48 UTC;4562516;5616464;3510628;43,49;117116;1541220;11392944;65,90;1595760;1521296;408
