# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
zenbook;1;2017-12-21 17:22:56 UTC;enp0s20f0u1u3;12,00;8,00;1,77;3,50;0,00;0,00;0,00;0,00
zenbook;1;2017-12-21 17:22:57 UTC;enp0s20f0u1u3;5,00;1,00;0,29;0,04;0,00;0,00;0,00;0,00
zenbook;1;2017-12-21 17:22:58 UTC;enp0s20f0u1u3;11,00;11,00;3,25;6,48;0,00;0,00;0,00;0,01
zenbook;1;2017-12-21 17:22:59 UTC;enp0s20f0u1u3;14,00;9,00;1,45;6,93;0,00;0,00;0,00;0,01
zenbook;1;2017-12-21 17:23:00 UTC;enp0s20f0u1u3;5,00;2,00;0,91;0,18;0,00;0,00;0,00;0,00
zenbook;1;2017-12-21 17:23:01 UTC;enp0s20f0u1u3;4,00;0,00;1,04;0,00;0,00;0,00;0,00;0,00
zenbook;1;2017-12-21 17:23:02 UTC;enp0s20f0u1u3;19,00;8,00;6,63;2,13;0,00;0,00;0,00;0,01
zenbook;1;2017-12-21 17:23:03 UTC;enp0s20f0u1u3;4,00;0,00;0,32;0,00;0,00;0,00;0,00;0,00
zenbook;1;2017-12-21 17:23:04 UTC;enp0s20f0u1u3;2,00;1,00;0,30;0,04;0,00;0,00;0,00;0,00
zenbook;1;2017-12-21 17:23:05 UTC;enp0s20f0u1u3;10,00;5,00;0,83;0,32;0,00;0,00;0,00;0,00
zenbook;1;2017-12-21 17:23:06 UTC;enp0s20f0u1u3;4,00;1,00;0,29;0,09;0,00;0,00;0,00;0,00
zenbook;1;2017-12-21 17:23:07 UTC;enp0s20f0u1u3;9,00;0,00;1,63;0,00;0,00;0,00;0,00;0,00
zenbook;1;2017-12-21 17:23:08 UTC;enp0s20f0u1u3;4,00;1,00;0,26;0,09;0,00;0,00;0,00;0,00
zenbook;1;2017-12-21 17:23:09 UTC;enp0s20f0u1u3;1,00;0,00;0,06;0,00;0,00;0,00;0,00;0,00
zenbook;1;2017-12-21 17:23:10 UTC;enp0s20f0u1u3;73,00;149,00;21,20;74,22;0,00;0,00;0,00;0,06
zenbook;1;2017-12-21 17:23:11 UTC;enp0s20f0u1u3;30,00;260,00;3,32;230,50;0,00;0,00;0,00;0,19
zenbook;1;2017-12-21 17:23:12 UTC;enp0s20f0u1u3;33,00;298,00;3,61;270,08;0,00;0,00;0,00;0,22
zenbook;1;2017-12-21 17:23:13 UTC;enp0s20f0u1u3;32,00;293,00;3,89;269,73;0,00;0,00;0,00;0,22
zenbook;1;2017-12-21 17:23:14 UTC;enp0s20f0u1u3;30,00;299,00;3,38;273,41;0,00;0,00;0,00;0,22
zenbook;1;2017-12-21 17:23:15 UTC;enp0s20f0u1u3;36,00;302,00;5,17;275,78;0,00;0,00;0,00;0,23
zenbook;1;2017-12-21 17:23:16 UTC;enp0s20f0u1u3;28,00;292,00;3,04;264,34;0,00;0,00;0,00;0,22
zenbook;1;2017-12-21 17:23:17 UTC;enp0s20f0u1u3;30,00;303,00;3,56;277,24;0,00;0,00;0,00;0,23
zenbook;1;2017-12-21 17:23:18 UTC;enp0s20f0u1u3;39,00;295,00;4,66;276,94;0,00;0,00;0,00;0,23
