timestamp;%idle;rxkB/s;txkB/s;kbmemfree;kbmemused
2018-01-25 18:36:33 UTC;97,24;0,12;0,00;6587164;1478720
2018-01-25 18:36:34 UTC;89,28;1,28;2,81;6599068;1466816
2018-01-25 18:36:35 UTC;94,19;0,72;0,19;6601268;1464616
2018-01-25 18:36:36 UTC;97,01;0,36;0,10;6601176;1464708
2018-01-25 18:36:37 UTC;97,74;0,12;0,00;6601148;1464736
2018-01-25 18:36:38 UTC;97,26;0,18;0,00;6601316;1464568
2018-01-25 18:36:39 UTC;97,74;0,00;0,00;6628712;1437172
2018-01-25 18:36:40 UTC;97,50;0,06;0,00;6628720;1437164
2018-01-25 18:36:41 UTC;94,21;6,26;3,09;6631880;1434004
2018-01-25 18:36:42 UTC;94,24;5,34;14,46;6630728;1435156
2018-01-25 18:36:43 UTC;94,99;1,57;10,59;6630852;1435032
2018-01-25 18:36:44 UTC;95,23;1,35;10,49;6629984;1435900
2018-01-25 18:36:45 UTC;95,99;1,38;10,15;6629860;1436024
2018-01-25 18:36:46 UTC;95,98;1,00;10,53;6629860;1436024
2018-01-25 18:36:47 UTC;95,75;1,65;10,68;6629488;1436396
2018-01-25 18:36:48 UTC;96,47;1,39;10,11;6629240;1436644
2018-01-25 18:36:49 UTC;95,99;0,76;8,52;6628840;1437044
2018-01-25 18:36:50 UTC;95,76;0,42;7,84;6628496;1437388
2018-01-25 18:36:51 UTC;96,23;0,50;8,48;6628496;1437388
2018-01-25 18:36:52 UTC;96,00;0,40;8,32;6628248;1437636
2018-01-25 18:36:53 UTC;95,99;0,00;7,84;6628248;1437636
2018-01-25 18:36:54 UTC;95,99;0,29;8,36;6627876;1438008
2018-01-25 18:36:55 UTC;96,24;0,52;8,10;6627876;1438008
2018-01-25 18:36:56 UTC;96,47;0,97;8,22;6627628;1438256
2018-01-25 18:36:57 UTC;96,00;0,26;7,96;6627380;1438504
2018-01-25 18:36:58 UTC;96,00;0,55;7,94;6627352;1438532
2018-01-25 18:36:59 UTC;95,75;1,30;8,46;6626360;1439524
2018-01-25 18:37:00 UTC;95,97;1,04;8,57;6624748;1441136
2018-01-25 18:37:01 UTC;96,48;0,75;8,22;6624624;1441260
2018-01-25 18:37:02 UTC;95,51;0,31;7,81;6624376;1441508
2018-01-25 18:37:03 UTC;96,25;0,50;8,12;6624376;1441508
2018-01-25 18:37:04 UTC;95,99;0,62;8,35;6624128;1441756
2018-01-25 18:37:05 UTC;95,99;1,40;7,91;6623880;1442004
2018-01-25 18:37:06 UTC;96,00;1,08;8,11;6623756;1442128
2018-01-25 18:37:07 UTC;96,24;1,47;7,87;6623384;1442500
2018-01-25 18:37:08 UTC;95,99;0,41;8,21;6623260;1442624
2018-01-25 18:37:09 UTC;95,75;1,85;8,79;6622364;1443520
