# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
zenbook;1;2018-01-25 18:36:33 UTC;6587164;6722000;1478720;18,33;28404;564724;8945712;51,76;381212;799240;2060
zenbook;1;2018-01-25 18:36:34 UTC;6599068;6734356;1466816;18,19;28440;552104;8949580;51,79;381972;786040;2260
zenbook;1;2018-01-25 18:36:35 UTC;6601268;6744984;1464616;18,16;28456;551276;8949580;51,79;372856;793608;2284
zenbook;1;2018-01-25 18:36:36 UTC;6601176;6745092;1464708;18,16;28456;551116;8949580;51,79;372784;793632;2112
zenbook;1;2018-01-25 18:36:37 UTC;6601148;6745064;1464736;18,16;28456;550996;8949580;51,79;372956;793460;2136
zenbook;1;2018-01-25 18:36:38 UTC;6601316;6745328;1464568;18,16;28456;550948;8949580;51,79;373020;793476;2160
zenbook;1;2018-01-25 18:36:39 UTC;6628712;6772780;1437172;17,82;28456;523656;8917820;51,60;372848;766356;2188
zenbook;1;2018-01-25 18:36:40 UTC;6628720;6772788;1437164;17,82;28464;523572;8917820;51,60;372764;766308;2236
zenbook;1;2018-01-25 18:36:41 UTC;6631880;6780160;1434004;17,78;30796;514832;8977644;51,95;376408;758132;2264
zenbook;1;2018-01-25 18:36:42 UTC;6630728;6780052;1435156;17,79;30796;514192;8994920;52,05;378568;757568;492
zenbook;1;2018-01-25 18:36:43 UTC;6630852;6780200;1435032;17,79;30796;514248;8994920;52,05;378600;757592;520
zenbook;1;2018-01-25 18:36:44 UTC;6629984;6779452;1435900;17,80;30836;514032;8994920;52,05;379460;757404;684
zenbook;1;2018-01-25 18:36:45 UTC;6629860;6779392;1436024;17,80;30836;514092;8994920;52,05;379628;757460;716
zenbook;1;2018-01-25 18:36:46 UTC;6629860;6779440;1436024;17,80;30836;514028;8994920;52,05;380000;757400;740
zenbook;1;2018-01-25 18:36:47 UTC;6629488;6779112;1436396;17,81;30836;514076;8994920;52,05;380184;757444;764
zenbook;1;2018-01-25 18:36:48 UTC;6629240;6778924;1436644;17,81;30844;514132;8994920;52,05;380620;757500;796
zenbook;1;2018-01-25 18:36:49 UTC;6628840;6778536;1437044;17,82;30844;514260;8994920;52,05;380844;757504;820
zenbook;1;2018-01-25 18:36:50 UTC;6628496;6778300;1437388;17,82;30852;514236;8994920;52,05;381040;757604;904
zenbook;1;2018-01-25 18:36:51 UTC;6628496;6778300;1437388;17,82;30852;514284;8994920;52,05;381040;757604;928
zenbook;1;2018-01-25 18:36:52 UTC;6628248;6778156;1437636;17,82;30852;514340;8994920;52,05;381368;757708;968
zenbook;1;2018-01-25 18:36:53 UTC;6628248;6778180;1437636;17,82;30852;514388;8994920;52,05;381400;757732;992
zenbook;1;2018-01-25 18:36:54 UTC;6627876;6777884;1438008;17,83;30868;514436;8994920;52,05;381728;757804;1068
zenbook;1;2018-01-25 18:36:55 UTC;6627876;6777936;1438008;17,83;30868;514484;8994920;52,05;381748;757840;1092
zenbook;1;2018-01-25 18:36:56 UTC;6627628;6777736;1438256;17,83;30868;514532;8994920;52,05;381876;757888;1128
zenbook;1;2018-01-25 18:36:57 UTC;6627380;6777508;1438504;17,83;30868;514588;8994920;52,05;382140;757908;468
zenbook;1;2018-01-25 18:36:58 UTC;6627352;6777576;1438532;17,83;30868;514636;8994920;52,05;382312;758004;496
zenbook;1;2018-01-25 18:36:59 UTC;6626360;6777236;1439524;17,85;30868;515384;8994920;52,05;382396;758652;524
zenbook;1;2018-01-25 18:37:00 UTC;6624748;6777136;1441136;17,87;30876;516828;8994920;52,05;382564;760156;556
zenbook;1;2018-01-25 18:37:01 UTC;6624624;6777100;1441260;17,87;30876;516880;8994920;52,05;382636;760252;584
zenbook;1;2018-01-25 18:37:02 UTC;6624376;6776904;1441508;17,87;30876;516932;8994920;52,05;382796;760304;612
zenbook;1;2018-01-25 18:37:03 UTC;6624376;6776960;1441508;17,87;30876;516984;8994920;52,05;382884;760356;640
zenbook;1;2018-01-25 18:37:04 UTC;6624128;6776760;1441756;17,87;30876;517032;8994920;52,05;382996;760404;664
zenbook;1;2018-01-25 18:37:05 UTC;6623880;6776532;1442004;17,88;30884;517080;8994920;52,05;383144;760424;688
zenbook;1;2018-01-25 18:37:06 UTC;6623756;6776472;1442128;17,88;30884;517136;8994920;52,05;383184;760484;716
zenbook;1;2018-01-25 18:37:07 UTC;6623384;6776116;1442500;17,88;30884;517184;8994920;52,05;383440;760500;680
zenbook;1;2018-01-25 18:37:08 UTC;6623260;6776104;1442624;17,89;30884;517240;8994920;52,05;383660;760612;712
zenbook;1;2018-01-25 18:37:09 UTC;6622364;6775260;1443520;17,90;30884;517288;8994920;52,05;384116;760664;736
zenbook;1;2018-01-25 18:37:10 UTC;6622392;6775324;1443492;17,90;30892;517340;8994920;52,05;384168;760684;764
zenbook;1;2018-01-25 18:37:11 UTC;6622144;6775144;1443740;17,90;30892;517392;8994920;52,05;384248;760756;788
zenbook;1;2018-01-25 18:37:12 UTC;6622020;6775052;1443864;17,90;30892;517444;8994920;52,05;384356;760780;496
zenbook;1;2018-01-25 18:37:13 UTC;6621648;6774780;1444236;17,91;30892;517560;8994920;52,05;384516;760880;476
zenbook;1;2018-01-25 18:37:14 UTC;6621648;6774860;1444236;17,91;30892;517620;8994920;52,05;384552;760956;512
zenbook;1;2018-01-25 18:37:15 UTC;6621400;6774628;1444484;17,91;30900;517676;8994920;52,05;384648;760972;544
zenbook;1;2018-01-25 18:37:16 UTC;6621400;6774744;1444484;17,91;30900;517724;8994920;52,05;384756;761088;584
zenbook;1;2018-01-25 18:37:17 UTC;6620904;6774304;1444980;17,91;30900;517780;8994920;52,05;385048;761136;612
zenbook;1;2018-01-25 18:37:18 UTC;6620408;6773836;1445476;17,92;30900;517828;8994920;52,05;385388;761160;636
zenbook;1;2018-01-25 18:37:19 UTC;6618308;6772652;1447576;17,95;30900;519136;8994920;52,05;385076;763336;688
zenbook;1;2018-01-25 18:37:20 UTC;6588416;6743984;1477468;18,32;30908;518324;8994920;52,05;408032;770868;724
zenbook;1;2018-01-25 18:37:21 UTC;6588168;6743760;1477716;18,32;30908;518372;8994920;52,05;408120;770892;748
zenbook;1;2018-01-25 18:37:22 UTC;6587548;6743220;1478336;18,33;30908;518164;8994920;52,05;408932;770708;776
zenbook;1;2018-01-25 18:37:23 UTC;6584308;6740944;1481576;18,37;30908;519884;9017672;52,18;409856;773344;800
zenbook;1;2018-01-25 18:37:24 UTC;6583068;6739768;1482816;18,38;30908;519620;9036656;52,29;411364;773088;884
zenbook;1;2018-01-25 18:37:25 UTC;6581628;6738436;1484256;18,40;30916;520188;9036372;52,29;412144;773628;916
zenbook;1;2018-01-25 18:37:26 UTC;6581876;6738740;1484008;18,40;30916;518876;9046868;52,35;413680;772296;944
zenbook;1;2018-01-25 18:37:27 UTC;6579024;6735936;1486860;18,43;30916;519720;9046868;52,35;415452;773140;968
zenbook;1;2018-01-25 18:37:28 UTC;6576080;6733084;1489804;18,47;30916;520092;9062196;52,44;417752;773540;308
zenbook;1;2018-01-25 18:37:29 UTC;6575832;6732884;1490052;18,47;30916;518956;9062196;52,44;419364;772404;220
zenbook;1;2018-01-25 18:37:30 UTC;6573228;6730332;1492656;18,51;30924;519992;9073856;52,51;421076;773444;256
zenbook;1;2018-01-25 18:37:31 UTC;6571788;6728952;1494096;18,52;30924;519052;9085456;52,57;423116;772496;284
zenbook;1;2018-01-25 18:37:32 UTC;6571120;6728324;1494764;18,53;30924;519024;9085456;52,57;424352;772456;308
zenbook;1;2018-01-25 18:37:33 UTC;6570128;6727396;1495756;18,54;30924;518804;9085456;52,57;425612;772244;340
zenbook;1;2018-01-25 18:37:34 UTC;6569012;6726324;1496872;18,56;30924;518852;9085456;52,57;426656;772288;364
zenbook;1;2018-01-25 18:37:35 UTC;6567772;6725148;1498112;18,57;30932;518716;9085456;52,57;428052;772156;432
