# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
zenbook;1;2018-01-25 18:36:33 UTC;enp0s20f0u1u3;2,00;0,00;0,12;0,00;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 18:36:34 UTC;enp0s20f0u1u3;7,00;5,00;1,28;2,81;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 18:36:35 UTC;enp0s20f0u1u3;6,00;3,00;0,72;0,19;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 18:36:36 UTC;enp0s20f0u1u3;5,00;1,00;0,36;0,10;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 18:36:37 UTC;enp0s20f0u1u3;2,00;0,00;0,12;0,00;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 18:36:38 UTC;enp0s20f0u1u3;3,00;0,00;0,18;0,00;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 18:36:39 UTC;enp0s20f0u1u3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 18:36:40 UTC;enp0s20f0u1u3;1,00;0,00;0,06;0,00;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 18:36:41 UTC;enp0s20f0u1u3;20,00;18,00;6,26;3,09;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:42 UTC;enp0s20f0u1u3;30,00;79,00;5,34;14,46;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:43 UTC;enp0s20f0u1u3;10,00;62,00;1,57;10,59;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:44 UTC;enp0s20f0u1u3;10,00;62,00;1,35;10,49;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:45 UTC;enp0s20f0u1u3;13,00;60,00;1,38;10,15;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:46 UTC;enp0s20f0u1u3;8,00;62,00;1,00;10,53;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:47 UTC;enp0s20f0u1u3;12,00;66,00;1,65;10,68;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:48 UTC;enp0s20f0u1u3;11,00;59,00;1,39;10,11;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:49 UTC;enp0s20f0u1u3;7,00;55,00;0,76;8,52;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:50 UTC;enp0s20f0u1u3;2,00;50,00;0,42;7,84;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:51 UTC;enp0s20f0u1u3;4,00;56,00;0,50;8,48;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:52 UTC;enp0s20f0u1u3;5,00;52,00;0,40;8,32;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:53 UTC;enp0s20f0u1u3;0,00;50,00;0,00;7,84;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:54 UTC;enp0s20f0u1u3;2,00;53,00;0,29;8,36;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:55 UTC;enp0s20f0u1u3;3,00;52,00;0,52;8,10;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:56 UTC;enp0s20f0u1u3;12,00;53,00;0,97;8,22;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:57 UTC;enp0s20f0u1u3;2,00;50,00;0,26;7,96;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:58 UTC;enp0s20f0u1u3;8,00;50,00;0,55;7,94;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:36:59 UTC;enp0s20f0u1u3;5,00;55,00;1,30;8,46;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:00 UTC;enp0s20f0u1u3;6,00;56,00;1,04;8,57;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:01 UTC;enp0s20f0u1u3;7,00;53,00;0,75;8,22;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:02 UTC;enp0s20f0u1u3;4,00;50,00;0,31;7,81;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:03 UTC;enp0s20f0u1u3;7,00;52,00;0,50;8,12;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:04 UTC;enp0s20f0u1u3;6,00;54,00;0,62;8,35;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:05 UTC;enp0s20f0u1u3;13,00;51,00;1,40;7,91;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:06 UTC;enp0s20f0u1u3;12,00;52,00;1,08;8,11;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:07 UTC;enp0s20f0u1u3;15,00;50,00;1,47;7,87;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:08 UTC;enp0s20f0u1u3;5,00;52,00;0,41;8,21;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:09 UTC;enp0s20f0u1u3;18,00;59,00;1,85;8,79;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:10 UTC;enp0s20f0u1u3;8,00;50,00;0,63;8,18;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:11 UTC;enp0s20f0u1u3;11,00;55,00;1,20;8,73;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:12 UTC;enp0s20f0u1u3;6,93;50,50;0,56;8,07;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:13 UTC;enp0s20f0u1u3;15,00;59,00;2,23;9,10;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:14 UTC;enp0s20f0u1u3;9,00;55,00;1,07;8,92;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:15 UTC;enp0s20f0u1u3;3,00;51,00;0,22;8,36;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:16 UTC;enp0s20f0u1u3;9,00;57,00;0,94;9,03;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:17 UTC;enp0s20f0u1u3;10,00;54,00;0,77;8,41;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:18 UTC;enp0s20f0u1u3;2,00;50,00;0,20;8,17;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:19 UTC;enp0s20f0u1u3;26,00;68,00;7,07;11,46;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:20 UTC;enp0s20f0u1u3;16,00;68,00;3,72;12,01;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 18:37:21 UTC;enp0s20f0u1u3;22,00;124,00;2,25;23,99;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 18:37:22 UTC;enp0s20f0u1u3;23,00;127,00;2,30;24,42;0,00;0,00;0,00;0,02
zenbook;1;2018-01-25 18:37:23 UTC;enp0s20f0u1u3;51,00;160,00;14,91;30,97;0,00;0,00;0,00;0,03
zenbook;1;2018-01-25 18:37:24 UTC;enp0s20f0u1u3;72,00;239,00;15,60;48,73;0,00;0,00;0,00;0,04
zenbook;1;2018-01-25 18:37:25 UTC;enp0s20f0u1u3;46,00;267,00;9,46;55,35;0,00;0,00;0,00;0,05
zenbook;1;2018-01-25 18:37:26 UTC;enp0s20f0u1u3;75,00;394,00;13,89;81,96;0,00;0,00;0,00;0,07
zenbook;1;2018-01-25 18:37:27 UTC;enp0s20f0u1u3;57,00;385,00;11,02;80,16;0,00;0,00;0,00;0,07
zenbook;1;2018-01-25 18:37:28 UTC;enp0s20f0u1u3;123,00;533,00;26,47;114,31;0,00;0,00;0,00;0,09
zenbook;1;2018-01-25 18:37:29 UTC;enp0s20f0u1u3;78,00;551,00;10,48;116,75;0,00;0,00;0,00;0,10
zenbook;1;2018-01-25 18:37:30 UTC;enp0s20f0u1u3;73,00;575,00;12,23;119,93;0,00;0,00;0,00;0,10
zenbook;1;2018-01-25 18:37:31 UTC;enp0s20f0u1u3;78,00;624,00;10,47;133,06;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:32 UTC;enp0s20f0u1u3;59,00;610,00;6,16;129,87;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:33 UTC;enp0s20f0u1u3;75,00;619,00;7,91;131,95;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:34 UTC;enp0s20f0u1u3;63,00;609,00;6,64;128,24;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:35 UTC;enp0s20f0u1u3;70,00;617,00;7,61;131,96;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:36 UTC;enp0s20f0u1u3;63,00;607,00;6,62;127,74;0,00;0,00;0,00;0,10
zenbook;1;2018-01-25 18:37:37 UTC;enp0s20f0u1u3;59,00;612,00;6,14;130,15;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:38 UTC;enp0s20f0u1u3;74,00;618,00;7,71;130,52;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:39 UTC;enp0s20f0u1u3;61,00;614,00;6,54;131,44;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:40 UTC;enp0s20f0u1u3;62,00;610,00;6,48;129,36;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:41 UTC;enp0s20f0u1u3;64,00;615,00;7,26;129,56;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:42 UTC;enp0s20f0u1u3;61,00;611,00;6,34;130,52;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:43 UTC;enp0s20f0u1u3;70,00;613,00;7,67;130,45;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:44 UTC;enp0s20f0u1u3;67,00;615,00;7,44;130,40;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:45 UTC;enp0s20f0u1u3;71,00;617,00;7,71;128,95;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:46 UTC;enp0s20f0u1u3;59,00;609,00;6,40;130,61;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:47 UTC;enp0s20f0u1u3;68,00;609,00;6,99;130,42;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:48 UTC;enp0s20f0u1u3;71,00;616,00;7,32;130,25;0,00;0,00;0,00;0,11
zenbook;1;2018-01-25 18:37:49 UTC;enp0s20f0u1u3;59,00;610,00;6,18;128,37;0,00;0,00;0,00;0,11
