timestamp;rxkB/s;txkB/s
2018-01-25 18:36:33 UTC;0,12;0,00
2018-01-25 18:36:34 UTC;1,28;2,81
2018-01-25 18:36:35 UTC;0,72;0,19
2018-01-25 18:36:36 UTC;0,36;0,10
2018-01-25 18:36:37 UTC;0,12;0,00
2018-01-25 18:36:38 UTC;0,18;0,00
2018-01-25 18:36:39 UTC;0,00;0,00
2018-01-25 18:36:40 UTC;0,06;0,00
2018-01-25 18:36:41 UTC;6,26;3,09
2018-01-25 18:36:42 UTC;5,34;14,46
2018-01-25 18:36:43 UTC;1,57;10,59
2018-01-25 18:36:44 UTC;1,35;10,49
2018-01-25 18:36:45 UTC;1,38;10,15
2018-01-25 18:36:46 UTC;1,00;10,53
2018-01-25 18:36:47 UTC;1,65;10,68
2018-01-25 18:36:48 UTC;1,39;10,11
2018-01-25 18:36:49 UTC;0,76;8,52
2018-01-25 18:36:50 UTC;0,42;7,84
2018-01-25 18:36:51 UTC;0,50;8,48
2018-01-25 18:36:52 UTC;0,40;8,32
2018-01-25 18:36:53 UTC;0,00;7,84
2018-01-25 18:36:54 UTC;0,29;8,36
2018-01-25 18:36:55 UTC;0,52;8,10
2018-01-25 18:36:56 UTC;0,97;8,22
2018-01-25 18:36:57 UTC;0,26;7,96
2018-01-25 18:36:58 UTC;0,55;7,94
2018-01-25 18:36:59 UTC;1,30;8,46
2018-01-25 18:37:00 UTC;1,04;8,57
2018-01-25 18:37:01 UTC;0,75;8,22
2018-01-25 18:37:02 UTC;0,31;7,81
2018-01-25 18:37:03 UTC;0,50;8,12
2018-01-25 18:37:04 UTC;0,62;8,35
2018-01-25 18:37:05 UTC;1,40;7,91
2018-01-25 18:37:06 UTC;1,08;8,11
2018-01-25 18:37:07 UTC;1,47;7,87
2018-01-25 18:37:08 UTC;0,41;8,21
2018-01-25 18:37:09 UTC;1,85;8,79
2018-01-25 18:37:10 UTC;0,63;8,18
2018-01-25 18:37:11 UTC;1,20;8,73
2018-01-25 18:37:12 UTC;0,56;8,07
2018-01-25 18:37:13 UTC;2,23;9,10
2018-01-25 18:37:14 UTC;1,07;8,92
2018-01-25 18:37:15 UTC;0,22;8,36
2018-01-25 18:37:16 UTC;0,94;9,03
2018-01-25 18:37:17 UTC;0,77;8,41
2018-01-25 18:37:18 UTC;0,20;8,17
2018-01-25 18:37:19 UTC;7,07;11,46
2018-01-25 18:37:20 UTC;3,72;12,01
2018-01-25 18:37:21 UTC;2,25;23,99
2018-01-25 18:37:22 UTC;2,30;24,42
2018-01-25 18:37:23 UTC;14,91;30,97
2018-01-25 18:37:24 UTC;15,60;48,73
2018-01-25 18:37:25 UTC;9,46;55,35
2018-01-25 18:37:26 UTC;13,89;81,96
2018-01-25 18:37:27 UTC;11,02;80,16
2018-01-25 18:37:28 UTC;26,47;114,31
2018-01-25 18:37:29 UTC;10,48;116,75
2018-01-25 18:37:30 UTC;12,23;119,93
2018-01-25 18:37:31 UTC;10,47;133,06
2018-01-25 18:37:32 UTC;6,16;129,87
2018-01-25 18:37:33 UTC;7,91;131,95
2018-01-25 18:37:34 UTC;6,64;128,24
2018-01-25 18:37:35 UTC;7,61;131,96
2018-01-25 18:37:36 UTC;6,62;127,74
2018-01-25 18:37:37 UTC;6,14;130,15
2018-01-25 18:37:38 UTC;7,71;130,52
2018-01-25 18:37:39 UTC;6,54;131,44
2018-01-25 18:37:40 UTC;6,48;129,36
2018-01-25 18:37:41 UTC;7,26;129,56
2018-01-25 18:37:42 UTC;6,34;130,52
2018-01-25 18:37:43 UTC;7,67;130,45
2018-01-25 18:37:44 UTC;7,44;130,40
2018-01-25 18:37:45 UTC;7,71;128,95
2018-01-25 18:37:46 UTC;6,40;130,61
2018-01-25 18:37:47 UTC;6,99;130,42
2018-01-25 18:37:48 UTC;7,32;130,25
2018-01-25 18:37:49 UTC;6,18;128,37
2018-01-25 18:37:50 UTC;6,96;131,85
2018-01-25 18:37:51 UTC;6,26;128,42
2018-01-25 18:37:52 UTC;6,09;129,41
2018-01-25 18:37:53 UTC;7,49;131,02
2018-01-25 18:37:54 UTC;6,94;131,21
2018-01-25 18:37:55 UTC;7,17;130,37
2018-01-25 18:37:56 UTC;7,16;129,27
2018-01-25 18:37:57 UTC;6,09;130,23
2018-01-25 18:37:58 UTC;7,99;132,03
2018-01-25 18:37:59 UTC;7,21;130,25
2018-01-25 18:38:00 UTC;6,72;129,30
2018-01-25 18:38:01 UTC;6,63;129,43
2018-01-25 18:38:02 UTC;6,56;131,05
2018-01-25 18:38:03 UTC;7,52;129,74
2018-01-25 18:38:04 UTC;6,85;130,26
2018-01-25 18:38:05 UTC;7,35;129,27
2018-01-25 18:38:06 UTC;6,53;129,37
2018-01-25 18:38:07 UTC;6,69;130,63
2018-01-25 18:38:08 UTC;7,51;131,30
2018-01-25 18:38:09 UTC;6,80;129,97
2018-01-25 18:38:10 UTC;6,81;128,92
2018-01-25 18:38:11 UTC;6,61;130,66
2018-01-25 18:38:12 UTC;6,89;129,79
2018-01-25 18:38:13 UTC;7,61;131,16
2018-01-25 18:38:14 UTC;7,22;128,37
2018-01-25 18:38:15 UTC;6,92;130,26
2018-01-25 18:38:16 UTC;6,62;131,23
2018-01-25 18:38:17 UTC;6,48;128,18
2018-01-25 18:38:18 UTC;6,68;130,17
2018-01-25 18:38:19 UTC;7,97;131,61
2018-01-25 18:38:20 UTC;6,67;128,84
2018-01-25 18:38:21 UTC;6,61;131,22
2018-01-25 18:38:22 UTC;6,31;128,60
2018-01-25 18:38:23 UTC;7,40;131,62
2018-01-25 18:38:24 UTC;6,62;130,00
2018-01-25 18:38:25 UTC;7,13;130,30
2018-01-25 18:38:26 UTC;6,75;130,03
2018-01-25 18:38:27 UTC;6,58;128,69
2018-01-25 18:38:28 UTC;6,91;129,72
2018-01-25 18:38:29 UTC;7,03;130,81
2018-01-25 18:38:30 UTC;6,95;131,70
2018-01-25 18:38:31 UTC;17,76;139,00
2018-01-25 18:38:32 UTC;10,95;145,94
2018-01-25 18:38:33 UTC;14,96;148,67
2018-01-25 18:38:34 UTC;17,67;153,48
2018-01-25 18:38:35 UTC;14,19;167,67
2018-01-25 18:38:36 UTC;9,33;170,42
2018-01-25 18:38:37 UTC;15,20;173,02
2018-01-25 18:38:38 UTC;15,85;174,17
2018-01-25 18:38:39 UTC;24,27;204,91
2018-01-25 18:38:40 UTC;39,88;230,32
2018-01-25 18:38:41 UTC;28,73;259,91
2018-01-25 18:38:42 UTC;16,22;257,47
2018-01-25 18:38:43 UTC;13,85;265,76
2018-01-25 18:38:44 UTC;13,43;259,96
2018-01-25 18:38:45 UTC;13,60;263,39
2018-01-25 18:38:46 UTC;14,49;265,32
2018-01-25 18:38:47 UTC;12,26;263,03
2018-01-25 18:38:48 UTC;12,96;260,63
2018-01-25 18:38:49 UTC;12,47;261,13
2018-01-25 18:38:50 UTC;13,73;266,28
2018-01-25 18:38:51 UTC;13,99;260,41
2018-01-25 18:38:52 UTC;11,79;265,08
2018-01-25 18:38:53 UTC;12,73;263,08
2018-01-25 18:38:54 UTC;12,75;262,25
2018-01-25 18:38:55 UTC;13,25;260,87
2018-01-25 18:38:56 UTC;12,96;263,23
2018-01-25 18:38:57 UTC;12,20;261,19
2018-01-25 18:38:58 UTC;13,25;265,34
2018-01-25 18:38:59 UTC;12,44;263,40
2018-01-25 18:39:00 UTC;13,37;260,29
2018-01-25 18:39:01 UTC;14,26;263,32
2018-01-25 18:39:02 UTC;13,21;265,65
2018-01-25 18:39:03 UTC;13,66;262,57
2018-01-25 18:39:04 UTC;12,41;261,71
2018-01-25 18:39:05 UTC;13,88;260,27
2018-01-25 18:39:06 UTC;12,76;265,65
2018-01-25 18:39:07 UTC;13,26;259,47
2018-01-25 18:39:08 UTC;13,44;266,49
2018-01-25 18:39:09 UTC;12,41;261,64
2018-01-25 18:39:10 UTC;13,30;261,08
2018-01-25 18:39:11 UTC;13,38;266,37
2018-01-25 18:39:12 UTC;12,95;261,22
2018-01-25 18:39:13 UTC;14,03;261,42
2018-01-25 18:39:14 UTC;13,25;265,71
2018-01-25 18:39:15 UTC;12,92;260,24
2018-01-25 18:39:16 UTC;12,90;262,82
2018-01-25 18:39:17 UTC;13,07;264,78
2018-01-25 18:39:18 UTC;13,01;262,17
2018-01-25 18:39:19 UTC;13,16;263,68
2018-01-25 18:39:20 UTC;13,83;260,55
2018-01-25 18:39:21 UTC;13,18;265,51
2018-01-25 18:39:22 UTC;13,08;262,83
2018-01-25 18:39:23 UTC;13,04;262,97
2018-01-25 18:39:24 UTC;13,46;262,95
2018-01-25 18:39:25 UTC;13,09;263,68
2018-01-25 18:39:26 UTC;12,34;262,28
2018-01-25 18:39:27 UTC;12,62;262,24
2018-01-25 18:39:28 UTC;14,52;260,65
2018-01-25 18:39:29 UTC;12,53;262,95
2018-01-25 18:39:30 UTC;14,13;263,11
2018-01-25 18:39:31 UTC;13,15;262,95
2018-01-25 18:39:32 UTC;11,71;265,44
2018-01-25 18:39:33 UTC;14,09;261,69
2018-01-25 18:39:34 UTC;13,01;264,29
2018-01-25 18:39:35 UTC;13,30;262,47
2018-01-25 18:39:36 UTC;12,72;263,17
2018-01-25 18:39:37 UTC;12,35;262,68
