timestamp;%idle;rxkB/s;txkB/s;kbmemfree;kbmemused
2018-01-25 19:09:14 UTC;98,50;1,04;0,25;5661084;2404800
2018-01-25 19:09:15 UTC;93,48;0,06;0,21;5670660;2395224
2018-01-25 19:09:16 UTC;94,24;0,33;0,40;5698596;2367288
2018-01-25 19:09:17 UTC;99,50;1,68;3,10;5698312;2367572
2018-01-25 19:09:18 UTC;99,50;0,00;0,00;5698188;2367696
2018-01-25 19:09:19 UTC;99,75;0,12;0,00;5698188;2367696
2018-01-25 19:09:20 UTC;99,50;0,00;0,00;5721064;2344820
2018-01-25 19:09:21 UTC;99,25;0,06;0,00;5721252;2344632
2018-01-25 19:09:22 UTC;99,50;0,00;0,00;5721252;2344632
2018-01-25 19:09:23 UTC;96,99;8,55;7,65;5723388;2342496
2018-01-25 19:09:24 UTC;97,74;0,91;2,71;5724308;2341576
2018-01-25 19:09:25 UTC;98,25;1,43;2,93;5724284;2341600
2018-01-25 19:09:26 UTC;99,50;0,74;2,41;5724596;2341288
2018-01-25 19:09:27 UTC;98,75;0,62;2,41;5724712;2341172
2018-01-25 19:09:28 UTC;99,00;1,14;2,79;5724596;2341288
2018-01-25 19:09:29 UTC;99,50;0,74;2,41;5724148;2341736
2018-01-25 19:09:30 UTC;99,50;0,75;1,85;5724472;2341412
2018-01-25 19:09:31 UTC;99,75;0,96;0,22;5724348;2341536
2018-01-25 19:09:32 UTC;99,25;0,40;0,38;5724224;2341660
2018-01-25 19:09:33 UTC;99,50;0,56;0,50;5724224;2341660
2018-01-25 19:09:34 UTC;99,50;0,23;0,16;5724100;2341784
2018-01-25 19:09:35 UTC;99,25;1,31;0,25;5724100;2341784
2018-01-25 19:09:36 UTC;99,25;0,33;0,13;5724256;2341628
2018-01-25 19:09:37 UTC;99,50;0,09;0,00;5724288;2341596
2018-01-25 19:09:38 UTC;99,50;0,62;0,37;5724164;2341720
2018-01-25 19:09:39 UTC;99,75;0,24;0,08;5724164;2341720
2018-01-25 19:09:40 UTC;99,00;0,37;0,16;5724040;2341844
2018-01-25 19:09:41 UTC;99,25;0,30;0,13;5724072;2341812
2018-01-25 19:09:42 UTC;99,25;0,13;0,22;5723948;2341936
2018-01-25 19:09:43 UTC;99,50;0,55;0,41;5723948;2341936
2018-01-25 19:09:44 UTC;97,01;7,19;4,10;5721976;2343908
2018-01-25 19:09:45 UTC;97,22;15,50;11,30;5721964;2343920
2018-01-25 19:09:46 UTC;96,99;6,69;12,25;5722956;2342928
2018-01-25 19:09:47 UTC;96,25;5,90;10,45;5721700;2344184
2018-01-25 19:09:48 UTC;95,97;12,35;16,02;5720724;2345160
2018-01-25 19:09:49 UTC;95,99;15,44;22,61;5721056;2344828
2018-01-25 19:09:50 UTC;96,48;10,54;21,29;5721364;2344520
2018-01-25 19:09:51 UTC;95,97;12,58;24,64;5720244;2345640
2018-01-25 19:09:52 UTC;95,99;9,27;21,51;5719608;2346276
2018-01-25 19:09:53 UTC;96,23;10,48;27,19;5719856;2346028
2018-01-25 19:09:54 UTC;97,47;6,36;21,57;5720028;2345856
2018-01-25 19:09:55 UTC;96,01;7,66;23,11;5720104;2345780
2018-01-25 19:09:56 UTC;96,73;5,83;21,18;5720104;2345780
2018-01-25 19:09:57 UTC;96,51;6,11;21,61;5720104;2345780
2018-01-25 19:09:58 UTC;96,73;7,65;22,29;5720104;2345780
2018-01-25 19:09:59 UTC;96,98;6,43;21,62;5720104;2345780
2018-01-25 19:10:00 UTC;96,24;6,52;22,02;5720104;2345780
2018-01-25 19:10:01 UTC;96,74;6,83;21,49;5720104;2345780
2018-01-25 19:10:02 UTC;97,23;5,89;21,35;5720104;2345780
