# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
zenbook;1;2018-01-25 19:09:14 UTC;-1;0,25;0,00;0,75;0,50;0,00;98,50
zenbook;1;2018-01-25 19:09:15 UTC;-1;5,01;0,00;1,50;0,00;0,00;93,48
zenbook;1;2018-01-25 19:09:16 UTC;-1;4,26;0,00;1,00;0,50;0,00;94,24
zenbook;1;2018-01-25 19:09:17 UTC;-1;0,25;0,00;0,25;0,00;0,00;99,50
zenbook;1;2018-01-25 19:09:18 UTC;-1;0,25;0,00;0,25;0,00;0,00;99,50
zenbook;1;2018-01-25 19:09:19 UTC;-1;0,00;0,00;0,25;0,00;0,00;99,75
zenbook;1;2018-01-25 19:09:20 UTC;-1;0,00;0,00;0,50;0,00;0,00;99,50
zenbook;1;2018-01-25 19:09:21 UTC;-1;0,25;0,00;0,25;0,25;0,00;99,25
zenbook;1;2018-01-25 19:09:22 UTC;-1;0,00;0,00;0,50;0,00;0,00;99,50
zenbook;1;2018-01-25 19:09:23 UTC;-1;2,01;0,00;1,00;0,00;0,00;96,99
zenbook;1;2018-01-25 19:09:24 UTC;-1;1,00;0,00;1,00;0,25;0,00;97,74
zenbook;1;2018-01-25 19:09:25 UTC;-1;0,75;0,00;1,00;0,00;0,00;98,25
zenbook;1;2018-01-25 19:09:26 UTC;-1;0,25;0,00;0,25;0,00;0,00;99,50
zenbook;1;2018-01-25 19:09:27 UTC;-1;0,50;0,00;0,50;0,25;0,00;98,75
zenbook;1;2018-01-25 19:09:28 UTC;-1;0,25;0,00;0,50;0,25;0,00;99,00
zenbook;1;2018-01-25 19:09:29 UTC;-1;0,00;0,00;0,50;0,00;0,00;99,50
zenbook;1;2018-01-25 19:09:30 UTC;-1;0,25;0,00;0,25;0,00;0,00;99,50
zenbook;1;2018-01-25 19:09:31 UTC;-1;0,00;0,00;0,25;0,00;0,00;99,75
zenbook;1;2018-01-25 19:09:32 UTC;-1;0,25;0,00;0,50;0,00;0,00;99,25
zenbook;1;2018-01-25 19:09:33 UTC;-1;0,00;0,00;0,50;0,00;0,00;99,50
zenbook;1;2018-01-25 19:09:34 UTC;-1;0,25;0,00;0,25;0,00;0,00;99,50
zenbook;1;2018-01-25 19:09:35 UTC;-1;0,25;0,00;0,50;0,00;0,00;99,25
zenbook;1;2018-01-25 19:09:36 UTC;-1;0,25;0,00;0,25;0,25;0,00;99,25
zenbook;1;2018-01-25 19:09:37 UTC;-1;0,00;0,00;0,50;0,00;0,00;99,50
zenbook;1;2018-01-25 19:09:38 UTC;-1;0,25;0,00;0,25;0,00;0,00;99,50
zenbook;1;2018-01-25 19:09:39 UTC;-1;0,00;0,00;0,25;0,00;0,00;99,75
zenbook;1;2018-01-25 19:09:40 UTC;-1;0,25;0,00;0,75;0,00;0,00;99,00
zenbook;1;2018-01-25 19:09:41 UTC;-1;0,25;0,00;0,50;0,00;0,00;99,25
zenbook;1;2018-01-25 19:09:42 UTC;-1;0,25;0,00;0,50;0,00;0,00;99,25
zenbook;1;2018-01-25 19:09:43 UTC;-1;0,25;0,00;0,25;0,00;0,00;99,50
zenbook;1;2018-01-25 19:09:44 UTC;-1;1,24;0,00;1,74;0,00;0,00;97,01
zenbook;1;2018-01-25 19:09:45 UTC;-1;1,77;0,00;1,01;0,00;0,00;97,22
zenbook;1;2018-01-25 19:09:46 UTC;-1;1,50;0,00;1,50;0,00;0,00;96,99
zenbook;1;2018-01-25 19:09:47 UTC;-1;2,25;0,00;1,25;0,25;0,00;96,25
zenbook;1;2018-01-25 19:09:48 UTC;-1;2,27;0,00;1,76;0,00;0,00;95,97
zenbook;1;2018-01-25 19:09:49 UTC;-1;2,26;0,00;1,75;0,00;0,00;95,99
zenbook;1;2018-01-25 19:09:50 UTC;-1;2,01;0,00;1,51;0,00;0,00;96,48
zenbook;1;2018-01-25 19:09:51 UTC;-1;2,02;0,00;2,02;0,00;0,00;95,97
zenbook;1;2018-01-25 19:09:52 UTC;-1;2,26;0,00;1,75;0,00;0,00;95,99
zenbook;1;2018-01-25 19:09:53 UTC;-1;1,76;0,00;2,01;0,00;0,00;96,23
zenbook;1;2018-01-25 19:09:54 UTC;-1;1,52;0,00;1,01;0,00;0,00;97,47
zenbook;1;2018-01-25 19:09:55 UTC;-1;2,24;0,00;1,50;0,25;0,00;96,01
zenbook;1;2018-01-25 19:09:56 UTC;-1;1,51;0,00;1,76;0,00;0,00;96,73
zenbook;1;2018-01-25 19:09:57 UTC;-1;1,75;0,00;1,75;0,00;0,00;96,51
zenbook;1;2018-01-25 19:09:58 UTC;-1;2,02;0,00;1,26;0,00;0,00;96,73
zenbook;1;2018-01-25 19:09:59 UTC;-1;1,76;0,00;1,26;0,00;0,00;96,98
zenbook;1;2018-01-25 19:10:00 UTC;-1;2,01;0,00;1,75;0,00;0,00;96,24
zenbook;1;2018-01-25 19:10:01 UTC;-1;2,26;0,00;1,00;0,00;0,00;96,74
zenbook;1;2018-01-25 19:10:02 UTC;-1;1,51;0,00;1,26;0,00;0,00;97,23
zenbook;1;2018-01-25 19:10:03 UTC;-1;0,75;0,00;1,50;0,25;0,00;97,49
zenbook;1;2018-01-25 19:10:04 UTC;-1;0,75;0,00;1,50;0,00;0,00;97,75
zenbook;1;2018-01-25 19:10:05 UTC;-1;1,00;0,00;1,25;0,00;0,00;97,74
zenbook;1;2018-01-25 19:10:06 UTC;-1;0,75;0,00;1,01;0,00;0,00;98,24
zenbook;1;2018-01-25 19:10:07 UTC;-1;1,01;0,00;1,26;0,00;0,00;97,74
zenbook;1;2018-01-25 19:10:08 UTC;-1;1,00;0,00;1,75;0,00;0,00;97,25
zenbook;1;2018-01-25 19:10:09 UTC;-1;0,76;0,00;0,76;0,00;0,00;98,48
zenbook;1;2018-01-25 19:10:10 UTC;-1;1,26;0,00;1,51;0,50;0,00;96,73
zenbook;1;2018-01-25 19:10:11 UTC;-1;5,28;0,00;2,51;0,00;0,00;92,21
zenbook;1;2018-01-25 19:10:12 UTC;-1;5,54;0,00;2,77;0,00;0,00;91,69
zenbook;1;2018-01-25 19:10:13 UTC;-1;0,75;0,00;1,75;0,00;0,00;97,50
zenbook;1;2018-01-25 19:10:14 UTC;-1;0,50;0,00;1,01;0,00;0,00;98,49
zenbook;1;2018-01-25 19:10:15 UTC;-1;1,00;0,00;1,25;0,00;0,00;97,74
zenbook;1;2018-01-25 19:10:16 UTC;-1;0,76;0,00;0,76;0,25;0,00;98,24
zenbook;1;2018-01-25 19:10:17 UTC;-1;1,01;0,00;1,01;0,00;0,00;97,99
zenbook;1;2018-01-25 19:10:18 UTC;-1;0,75;0,00;1,26;0,25;0,00;97,74
zenbook;1;2018-01-25 19:10:19 UTC;-1;0,75;0,00;1,01;0,00;0,00;98,24
zenbook;1;2018-01-25 19:10:20 UTC;-1;1,01;0,00;1,01;0,00;0,00;97,99
zenbook;1;2018-01-25 19:10:21 UTC;-1;0,76;0,00;1,26;0,25;0,00;97,73
zenbook;1;2018-01-25 19:10:22 UTC;-1;1,00;0,00;1,00;0,00;0,00;97,99
zenbook;1;2018-01-25 19:10:23 UTC;-1;0,75;0,00;1,01;0,00;0,00;98,24
zenbook;1;2018-01-25 19:10:24 UTC;-1;0,75;0,00;1,25;0,00;0,00;97,99
zenbook;1;2018-01-25 19:10:25 UTC;-1;0,75;0,00;1,26;0,00;0,00;97,99
zenbook;1;2018-01-25 19:10:26 UTC;-1;0,50;0,00;1,01;0,00;0,00;98,49
zenbook;1;2018-01-25 19:10:27 UTC;-1;1,00;0,00;1,00;0,00;0,00;97,99
