# hostname;interval;timestamp;kbmemfree;kbavail;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
zenbook;1;2018-01-25 19:09:14 UTC;5661084;6408240;2404800;29,81;75432;1070644;9113016;52,73;1083536;1000448;1924
zenbook;1;2018-01-25 19:09:15 UTC;5670660;6417940;2395224;29,70;75432;1060120;9125580;52,80;1083700;990016;2096
zenbook;1;2018-01-25 19:09:16 UTC;5698596;6449192;2367288;29,35;75472;1052676;9113276;52,73;1060788;985984;2128
zenbook;1;2018-01-25 19:09:17 UTC;5698312;6449164;2367572;29,35;75480;1052716;9113276;52,73;1060812;986120;2268
zenbook;1;2018-01-25 19:09:18 UTC;5698188;6449040;2367696;29,35;75480;1052576;9113276;52,73;1060984;985948;2292
zenbook;1;2018-01-25 19:09:19 UTC;5698188;6449092;2367696;29,35;75480;1052532;9113276;52,73;1060824;985900;2316
zenbook;1;2018-01-25 19:09:20 UTC;5721064;6472024;2344820;29,07;75480;1029540;9089384;52,59;1060824;962908;2344
zenbook;1;2018-01-25 19:09:21 UTC;5721252;6472264;2344632;29,07;75488;1029524;9089384;52,59;1060828;962904;2368
zenbook;1;2018-01-25 19:09:22 UTC;5721252;6472312;2344632;29,07;75512;1029560;9089384;52,59;1060836;962952;2408
zenbook;1;2018-01-25 19:09:23 UTC;5723388;6474984;2342496;29,04;75520;1025364;9121160;52,78;1061684;959168;2464
zenbook;1;2018-01-25 19:09:24 UTC;5724308;6476316;2341576;29,03;75536;1024180;9121160;52,78;1061996;958252;2496
zenbook;1;2018-01-25 19:09:25 UTC;5724284;6476128;2341600;29,03;75536;1024064;9121160;52,78;1061848;958008;640
zenbook;1;2018-01-25 19:09:26 UTC;5724596;6476536;2341288;29,03;75536;1023856;9121160;52,78;1061936;957840;616
zenbook;1;2018-01-25 19:09:27 UTC;5724712;6476832;2341172;29,03;75552;1024012;9121160;52,78;1062012;958016;664
zenbook;1;2018-01-25 19:09:28 UTC;5724596;6476656;2341288;29,03;75560;1023848;9121160;52,78;1061992;957848;780
zenbook;1;2018-01-25 19:09:29 UTC;5724148;6476276;2341736;29,03;75560;1023992;9121160;52,78;1062164;957896;860
zenbook;1;2018-01-25 19:09:30 UTC;5724472;6476600;2341412;29,03;75560;1023960;9121160;52,78;1062028;957896;884
zenbook;1;2018-01-25 19:09:31 UTC;5724348;6476484;2341536;29,03;75560;1024016;9121160;52,78;1062036;957904;912
zenbook;1;2018-01-25 19:09:32 UTC;5724224;6476412;2341660;29,03;75560;1024064;9121160;52,78;1062040;957956;936
zenbook;1;2018-01-25 19:09:33 UTC;5724224;6476512;2341660;29,03;75568;1024120;9121160;52,78;1062052;958056;1052
zenbook;1;2018-01-25 19:09:34 UTC;5724100;6476444;2341784;29,03;75568;1024168;9121160;52,78;1062028;958112;1076
zenbook;1;2018-01-25 19:09:35 UTC;5724100;6476500;2341784;29,03;75568;1024224;9121160;52,78;1062028;958168;1104
zenbook;1;2018-01-25 19:09:36 UTC;5724256;6476588;2341628;29,03;75584;1024104;9121160;52,78;1062052;958088;1308
zenbook;1;2018-01-25 19:09:37 UTC;5724288;6476800;2341596;29,03;75584;1024320;9121160;52,78;1062076;958252;1192
zenbook;1;2018-01-25 19:09:38 UTC;5724164;6476732;2341720;29,03;75584;1024376;9121160;52,78;1062076;958308;1220
zenbook;1;2018-01-25 19:09:39 UTC;5724164;6476828;2341720;29,03;75584;1024420;9121160;52,78;1062076;958404;1244
zenbook;1;2018-01-25 19:09:40 UTC;5724040;6476760;2341844;29,03;75584;1024480;9121160;52,78;1062076;958464;420
zenbook;1;2018-01-25 19:09:41 UTC;5724072;6476792;2341812;29,03;75584;1024528;9121160;52,78;1062084;958464;348
zenbook;1;2018-01-25 19:09:42 UTC;5723948;6476796;2341936;29,04;75592;1024608;9121160;52,78;1062124;958592;440
zenbook;1;2018-01-25 19:09:43 UTC;5723948;6476796;2341936;29,04;75592;1024656;9121160;52,78;1062124;958592;464
zenbook;1;2018-01-25 19:09:44 UTC;5721976;6475564;2343908;29,06;75592;1026620;9166116;53,04;1061864;961208;532
zenbook;1;2018-01-25 19:09:45 UTC;5721964;6475624;2343920;29,06;75592;1026756;9166116;53,04;1061960;961368;628
zenbook;1;2018-01-25 19:09:46 UTC;5722956;6476732;2342928;29,05;75600;1025268;9166116;53,04;1062044;959964;656
zenbook;1;2018-01-25 19:09:47 UTC;5721700;6475536;2344184;29,06;75616;1026484;9166116;53,04;1062276;961016;688
zenbook;1;2018-01-25 19:09:48 UTC;5720724;6475136;2345160;29,08;75616;1026972;9178840;53,11;1062268;962172;724
zenbook;1;2018-01-25 19:09:49 UTC;5721056;6475616;2344828;29,07;75616;1026604;9187032;53,16;1062416;961896;752
zenbook;1;2018-01-25 19:09:50 UTC;5721364;6476052;2344520;29,07;75616;1025620;9187032;53,16;1062728;961000;776
zenbook;1;2018-01-25 19:09:51 UTC;5720244;6474988;2345640;29,08;75616;1026760;9206644;53,27;1062968;962140;804
zenbook;1;2018-01-25 19:09:52 UTC;5719608;6474400;2346276;29,09;75616;1027184;9218524;53,34;1063028;962564;828
zenbook;1;2018-01-25 19:09:53 UTC;5719856;6474704;2346028;29,09;75624;1025696;9218524;53,34;1063188;961076;856
zenbook;1;2018-01-25 19:09:54 UTC;5720028;6474924;2345856;29,08;75624;1025580;9218524;53,34;1063196;960952;884
zenbook;1;2018-01-25 19:09:55 UTC;5720104;6475032;2345780;29,08;75632;1025544;9218524;53,34;1063272;960876;8
zenbook;1;2018-01-25 19:09:56 UTC;5720104;6475088;2345780;29,08;75632;1025600;9218524;53,34;1063272;960932;48
zenbook;1;2018-01-25 19:09:57 UTC;5720104;6475196;2345780;29,08;75632;1025392;9218524;53,34;1063324;960784;76
zenbook;1;2018-01-25 19:09:58 UTC;5720104;6475220;2345780;29,08;75640;1025448;9218524;53,34;1063332;960808;132
zenbook;1;2018-01-25 19:09:59 UTC;5720104;6475276;2345780;29,08;75640;1025496;9218524;53,34;1063332;960864;156
zenbook;1;2018-01-25 19:10:00 UTC;5720104;6475308;2345780;29,08;75640;1025556;9218524;53,34;1063356;960896;184
zenbook;1;2018-01-25 19:10:01 UTC;5720104;6475308;2345780;29,08;75640;1025600;9218524;53,34;1063356;960896;228
zenbook;1;2018-01-25 19:10:02 UTC;5720104;6475396;2345780;29,08;75640;1025648;9218524;53,34;1063364;960984;256
zenbook;1;2018-01-25 19:10:03 UTC;5720104;6475520;2345780;29,08;75648;1025704;9218524;53,34;1063372;961100;284
zenbook;1;2018-01-25 19:10:04 UTC;5720104;6475520;2345780;29,08;75648;1025752;9218524;53,34;1063372;961100;308
