# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s;%ifutil
zenbook;1;2018-01-25 19:09:14 UTC;enp0s20f0u1u3;5,00;2,00;1,04;0,25;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:15 UTC;enp0s20f0u1u3;1,00;1,00;0,06;0,21;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:16 UTC;enp0s20f0u1u3;4,00;4,00;0,33;0,40;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:17 UTC;enp0s20f0u1u3;8,00;7,00;1,68;3,10;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:18 UTC;enp0s20f0u1u3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:19 UTC;enp0s20f0u1u3;2,00;0,00;0,12;0,00;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:20 UTC;enp0s20f0u1u3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:21 UTC;enp0s20f0u1u3;1,00;0,00;0,06;0,00;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:22 UTC;enp0s20f0u1u3;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:23 UTC;enp0s20f0u1u3;39,00;39,00;8,55;7,65;0,00;0,00;0,00;0,01
zenbook;1;2018-01-25 19:09:24 UTC;enp0s20f0u1u3;7,00;12,00;0,91;2,71;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:25 UTC;enp0s20f0u1u3;10,00;14,00;1,43;2,93;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:26 UTC;enp0s20f0u1u3;7,00;10,00;0,74;2,41;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:27 UTC;enp0s20f0u1u3;5,00;10,00;0,62;2,41;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:28 UTC;enp0s20f0u1u3;11,00;14,00;1,14;2,79;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:29 UTC;enp0s20f0u1u3;7,00;10,00;0,74;2,41;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:30 UTC;enp0s20f0u1u3;7,00;8,00;0,75;1,85;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:31 UTC;enp0s20f0u1u3;5,00;2,00;0,96;0,22;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:32 UTC;enp0s20f0u1u3;5,00;5,00;0,40;0,38;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:33 UTC;enp0s20f0u1u3;5,00;5,00;0,56;0,50;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:34 UTC;enp0s20f0u1u3;3,00;2,00;0,23;0,16;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:35 UTC;enp0s20f0u1u3;6,00;2,00;1,31;0,25;0,00;0,00;0,00;0,00
zenbook;1;2018-01-25 19:09:36 UTC;enp0s20f0u1u3;3,00;1,00;0,33;0,13;0,00;0,00;0,00;0,00
